S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
1.0,6088862.0,KSHAMA ENTERPRISES,INR,"816,786","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1143376_1,759/AA-4/25-26,Repairing and painting work of mens toilet near 10/401 khalasi line under ward-10 zone-4.,1,6088862,KSHAMA ENTERPRISES,04-May-2026 09:10 PM,Accepted-AOC,AOC ISSUE,04-Jun-2026 09:26 PM,29-Jun-2026,"INR 816,786",45.0,MEENAKSHI AGARWAL,04-Jun-2026 09:26 PM,759.pdf (236.00 KB),AGREEMENT DEED COMPLETE,Finance,TF,MEENAKSHI AGARWAL,06-May-2026 07:06 PM,finance_2135797.pdf,BOQ Comparative Chart,EE 4,Internal,EE 4,MEENAKSHI AGARWAL,11-May-2026 06:10 PM,finsummary_2135797.pdf (44.15 KB),EE 4,Internal,EE 4,MEENAKSHI AGARWAL,11-May-2026 06:01 PM,techsummary_2135797.pdf (44.15 KB),AOC,"Kanpur Municipal Corporation, Kanpur, UP",759/AA-4/25-26,2026_NNKAN_1143376_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan copy of Affidavit of pending works on Rs. 100 stamp,1.0,SBI Bank,"1,180",Nil,Nil,No,Repairing and painting work of mens toilet near 10/401 khalasi line under ward-10 zone-4.,Repairing and painting work of mens toilet near 10/401 khalasi line under ward-10 zone-4.,Please refer Tender documents. ,NA ,"9,60,925",Civil Works,NA ,Tender,90.0,45.0,ward-10 Benajhabar,208001.0,NA ,NA ,NA ,"Executive Engineer Office, Motijheel, Kanpur",No ,No,30-Apr-2026 11:30 AM,05-May-2026 04:00 PM,30-Apr-2026 11:30 AM,05-May-2026 03:00 PM,NA ,NA ,30-Apr-2026 11:30 AM,05-May-2026 03:00 PM,"96,093",No,percentage,10.0%,Nil,Nil,"Chief Engineer, KNN","Chief Engineer office, KNN, Motijheel",AOC
,,,,,,,,,2,6085649,S.A.Enterprises,03-May-2026 07:35 PM,Rejected-Finance,Not Selected in Lottery,11-May-2026 06:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
