Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
10-Jun-2026,"INR 200,000",365.0,Office Representative-2,10-Jun-2026 05:40 PM,aoc.pdf (370.00 KB),agreement,1.0,5820442.0,ENVIGROW SUSTAINABLE SOLUTIONS LLP,INR,"200,000",Directorate of Local Bodies UP||Mathura Municipal Corporation,2026_DOLBU_1104581_1,NNMV/CSC/520/EOI/MRF,SELECTION OF AN AGENCY FOR OPERATION AND MAINTENANCE OF MATERIAL RECOVERY FACILITY IN NAGAR NIGAM MATHURA VRINDAVAN,1,5820442,ENVIGROW SUSTAINABLE SOLUTIONS LLP,23-Jan-2026 01:41 PM,Accepted-AOC,l1,10-Jun-2026 05:40 PM,Finance,1Bids,Office Representative-2,10-Feb-2026 11:53 AM,,BOQ Comparative Chart,A.N.A.,Internal,,Office Representative-3,07-Feb-2026 04:44 PM,09-Feb-2026 10:00 AM,techsummary_2037818.pdf (633.87 KB),Technical,2B,Office Representative-2,27-Jan-2026 03:53 PM,,sahayak nagar ayukt,Internal,Committee Members,Office Representative-2,10-Jun-2026 02:41 PM,finsummary_2037818.pdf (370.87 KB),AOC,Directorate of Local Bodies UP||Mathura Municipal Corporation,NNMV/CSC/520/EOI/MRF,2026_DOLBU_1104581_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,TENDER DOCS,"5,900",Nil,Nil,No,SELECTION OF AN AGENCY FOR OPERATION AND MAINTENANCE OF MATERIAL RECOVERY FACILITY IN NAGAR NIGAM MATHURA VRINDAVAN,AS PER NIT,Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,90.0,NA ,NNMV,281001.0,NAGAR NIGAM MATHURA VRINDAVAN ,"CSC OFFICE, NAGAR NIGAM MATHURA VRINDAVAN,BHUTESHWAR, MATHURA ",12-Jan-2026 01:00 PM ,NNMV,No ,No,A.N.A.,NNMV,07-Jan-2026 05:00 PM,24-Jan-2026 02:00 PM,07-Jan-2026 05:00 PM,23-Jan-2026 02:00 PM,NA ,NA ,07-Jan-2026 05:00 PM,23-Jan-2026 02:00 PM,09-Feb-2026 10:00 AM,1.0,Date,Date,,1.0,SBI Bank,"2,00,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,5820165,GREEN FUTURE COLLECTIVE TRUST,23-Jan-2026 12:06 PM,Rejected-Technical,NOT QUALIFIED,07-Feb-2026 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
