Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1116864_1,6269(337)/NNA/2025-26,NIRMAN WORK,1.0,5937259.0,M/S AMIT TRADERS,INR,"2,975,042",1,5937259,M/S AMIT TRADERS,27-Feb-2026 04:40 PM,Accepted-AOC,OK,17-Jun-2026 06:23 PM,17-Jun-2026,"INR 2,975,042",60.0,Danish Haider Naqvi,17-Jun-2026 06:23 PM,cammetti.pdf (193.00 KB),OK,CE,Internal,EE,Danish Haider Naqvi,17-Jun-2026 06:06 PM,finsummary_2078226.pdf (193.41 KB),Technical,ALL DOCUMENTS COMPLETE,Rajesh Kumar,14-May-2026 01:37 PM,technical_2078226.pdf,CE,Internal,EE,Danish Haider Naqvi,14-May-2026 04:05 PM,14-May-2026 04:10 PM,techsummary_2078226.pdf (193.41 KB),Finance,ok,Danish Haider Naqvi,17-Jun-2026 05:51 PM,,BOQ Comparative Chart,AOC,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(337)/NNA/2025-26,2026_DOLBU_1116864_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"3,540",Nil,Nil,No,1.0,SBI Bank,"2,99,000",No,fixed,,Nil,Nil,EE,NAGAR NIGAM ALIGARH,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"29,93,000",Civil Works,NA ,Tender,90.0,60.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,21-Feb-2026 05:00 PM,28-Feb-2026 11:00 AM,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,NA ,NA ,21-Feb-2026 05:00 PM,27-Feb-2026 05:00 PM,14-May-2026 04:10 PM,AOC
,,,,,,,,,2,5934776,M/s Ipshita Construction,27-Feb-2026 03:32 PM,Rejected-Finance,OK,17-Jun-2026 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,5934815,SINGH CONSTRUCTION,27-Feb-2026 03:24 PM,Rejected-Finance,OK,17-Jun-2026 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
