Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
09-Jun-2026,"INR 455,891",60.0,Kuldeep Kumar Tamar,09-Jun-2026 03:32 PM,61116.pdf (402.00 KB),Technical,Techncial,Kuldeep Kumar Tamar,02-May-2026 12:48 PM,,CE,Internal,,narendra kumar chaudhary,23-May-2026 01:04 PM,23-May-2026 03:00 PM,techsummary_2122230.pdf (490.21 KB),ce,Internal,,Kuldeep Kumar Tamar,09-Jun-2026 03:29 PM,finsummary_2122230.pdf (402.04 KB),Finance,Finance,Rajendra Singh,25-May-2026 12:19 PM,,BOQ Comparative Chart,1.0,6080224.0,M/S SHIV CONSTRUCTION,INR,"455,891",1,6079410,MS BUILDWELL,30-Apr-2026 01:07 PM,Rejected-Finance,L2,09-Jun-2026 03:29 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_61,116/Nirman/2026-27 Date 04.04.2026,Work of laying slab on open drain at the gate of 21 Milestone Residency on Ward-46 Meerut Road.,AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,13-Apr-2026 05:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 05:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 05:00 PM,30-Apr-2026 03:00 PM,23-May-2026 03:00 PM,"1,416",Nil,Nil,No,Work of laying slab on open drain at the gate of 21 Milestone Residency on Ward-46 Meerut Road.,Work of laying slab on open drain at the gate of 21 Milestone Residency on Ward-46 Meerut Road.,Please refer Tender documents. ,NA ,"5,36,343",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,"16,090",No,percentage,3.0%,Nil,Nil,1.0,SBI Bank,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_61,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CE,Ghaziabad Nagar Nigam,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6072658,M/S GAUD AND CONSTRUCTION COMPNAY,27-Apr-2026 07:06 PM,Rejected-Technical,all requried not complete,23-May-2026 01:04 PM,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6069117,M/s Mahadev Constructions,27-Apr-2026 01:44 AM,Rejected-Finance,L2,09-Jun-2026 03:29 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6077606,M/S RIDHIMA WEAVTAX PRIVATE LIMITED,30-Apr-2026 09:17 AM,Rejected-Finance,L2,09-Jun-2026 03:29 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6080224,M/S SHIV CONSTRUCTION,30-Apr-2026 02:32 PM,Accepted-AOC,L1,09-Jun-2026 03:32 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6078655,Sarthak construction,30-Apr-2026 02:30 PM,Rejected-Finance,L2,09-Jun-2026 03:29 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
