Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1352/RED/E-Tender(41)/25-26, Dt. 30.03.2026",2026_REDUP_1138890_9,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,Vikas Khand Kaisarganj G.P. Parsendit antargat Mata Bhagwati Kunj Ashram ke paas R.O. evam Water Cooler sthapna karya_09,Vikas Khand Kaisarganj G.P. Parsendit antargat Mata Bhagwati Kunj Ashram ke paas R.O. evam Water Cooler sthapna karya_09,Please refer Tender documents. ,NA ,"2,89,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Enginer, R.E.D. Bahraich",No ,No,1.0,SBI Bank,"5,800",No,fixed,,Nil,Nil,Executive Enginer,"Office of the Executive Enginer, R.E.D. Bahraich",1,Fee/PreQual/Technical,.pdf,Technical bid documents,692.0,Nil,Nil,No,20-Apr-2026 12:00 PM,29-Apr-2026 12:30 PM,20-Apr-2026 12:00 PM,29-Apr-2026 12:00 PM,NA ,NA ,20-Apr-2026 12:00 PM,29-Apr-2026 12:00 PM,04-May-2026 02:00 PM,AOC,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,02-May-2026 06:45 PM,04-May-2026 02:00 PM,techsummary_2126415.pdf (622.84 KB),Finance,Financial bid open,Sujit Kumar Sinha,05-May-2026 12:22 PM,finance_2126415.pdf,BOQ Comparative Chart,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,05-May-2026 02:31 PM,finsummary_2126415.pdf (43.84 KB),Technical,Technical bid open,Sujit Kumar Sinha,29-Apr-2026 02:23 PM,technical_2126415.pdf,1,6068431,M/S MANISH KUMAR CONTRACTOR,27-Apr-2026 04:44 PM,Rejected-Finance,High,05-May-2026 02:31 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1138890_9,"1352/RED/E-Tender(41)/25-26, Dt. 30.03.2026",Vikas Khand Kaisarganj G.P. Parsendit antargat Mata Bhagwati Kunj Ashram ke paas R.O. evam Water Cooler sthapna karya_09,1.0,6068385.0,Rajeev Kumar Verma,INR,"340,625.34",07-May-2026,"INR 340,625.34",180.0,Sujit Kumar Sinha,16-Jun-2026 04:13 PM,Document2.pdf (26.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial bid document (BOQ),,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6068385,Rajeev Kumar Verma,27-Apr-2026 02:15 PM,Accepted-AOC,AOC,16-Jun-2026 04:13 PM,,,,,,,,,,,,,,,,AOC
