Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
EE RED Firozabad,Internal,"AE,DAO,RED, firozabad",Komal Agarwal,19-May-2026 05:20 PM,23-May-2026 12:00 PM,techsummary_2143972.pdf (307.27 KB),Technical,summary,Komal Agarwal,14-May-2026 02:32 PM,,30-Jun-2026,"INR 3,303,971.53",90.0,Komal Agarwal,30-Jun-2026 05:00 PM,1_documents.pdf (181.00 KB),1,6103955,M/s GYATRI ENTERPRISES,11-May-2026 12:09 PM,Rejected-Finance,Highest Bidder,30-Jun-2026 04:58 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE FIROZABAD,2026_REDUP_1146455_12,1222/RED/Nivida Patra.-Firozabad/Samanya Karya/2025-26 Date 02-04-2026,"In Ward No. Nagla Karan Singh, Lane No. 01, from Rajendra Rathore to Vinod Rathore from Baijayanti to Pramod from Vinod to Pandit Ji and from Dhavendra Pradhan to Naveen Vidyarthi. In Lane No. 04 from Baba Om Prakash to Kalicharan and from Jaswant Pr",1.0,6103974.0,M/s MARUTI TRADERS,INR,"3,303,971.53",Finance,summary,Komal Agarwal,23-May-2026 01:59 PM,,BOQ Comparative Chart,EE RED Firozabad,Internal,AE DAO RED FZD,Komal Agarwal,30-Jun-2026 04:58 PM,finsummary_2143972.pdf (181.40 KB),AOC,"66,000",No,fixed,,Nil,Nil,Executive Engineer,"RED, Firozabad",854.0,Nil,Nil,No,"In Ward No. Nagla Karan Singh, Lane No. 01, from Rajendra Rathore to Vinod Rathore from Baijayanti to Pramod from Vinod to Pandit Ji and from Dhavendra Pradhan to Naveen Vidyarthi. In Lane No. 04 from Baba Om Prakash to Kalicharan and from Jaswant Pr","In Ward No. Nagla Karan Singh, Lane No. 01, from Rajendra Rathore to Vinod Rathore from Baijayanti to Pramod from Vinod to Pandit Ji and from Dhavendra Pradhan to Naveen Vidyarthi. In Lane No. 04 from Baba Om Prakash to Kalicharan and from Jaswant Pr",Please refer Tender documents. ,NA ,"33,21,000",Civil Works,NA ,Tender,90.0,90.0,"In Ward No. Nagla Karan Singh, Lane No. 01, from R",283205.0,NA ,NA ,NA ,"EE, RED, Firozabad",No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE||EE FIROZABAD,1222/RED/Nivida Patra.-Firozabad/Samanya Karya/2025-26 Date 02-04-2026,2026_REDUP_1146455_12,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,08-May-2026 10:00 AM,13-May-2026 02:00 PM,08-May-2026 10:00 AM,13-May-2026 12:00 PM,NA ,NA ,08-May-2026 10:00 AM,13-May-2026 12:00 PM,23-May-2026 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,2,6103934,M/s Mahaveer Enterprises,11-May-2026 12:14 PM,Rejected-Finance,Highest Bidder,30-Jun-2026 04:58 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3,6103974,M/s MARUTI TRADERS,11-May-2026 01:04 PM,Accepted-AOC,AOC,30-Jun-2026 05:00 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
