Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,2026_REDUP_1150633_4,02/ SERED 2026-27 DT01-04-2026,4 vikash khand pinahat k pinahat manona marg nahar ki puliya se jasram k baghel k ghr tak cc karya,1.0,6138911.0,SANTOSH SINGH GEHLOTH,INR,"4,309,637.3",1,6138911,SANTOSH SINGH GEHLOTH,25-May-2026 07:29 PM,Accepted-AOC,AOC,28-Jun-2026 08:22 PM,18-Jun-2026,"INR 4,309,637.3",120.0,Dinesh Singh,28-Jun-2026 08:21 PM,Manona_Marg.pdf (209.00 KB),AOC,SE RED,Internal,,Dinesh Singh,17-Jun-2026 05:39 PM,finsummary_2154760.pdf (60.31 KB),Technical,Technical,Dinesh Singh,29-May-2026 02:30 PM,,SERED,Internal,,Dinesh Singh,12-Jun-2026 06:35 PM,15-Jun-2026 12:00 PM,techsummary_2154760.pdf (93.18 KB),Finance,ALL BID ADMITTED,Dinesh Singh,16-Jun-2026 06:15 PM,,BOQ Comparative Chart,AOC,"2,354",Nil,Nil,No,"88,000",Yes,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,SBD,21-May-2026 10:00 AM,28-May-2026 02:30 PM,21-May-2026 10:00 AM,28-May-2026 12:00 PM,NA ,NA ,21-May-2026 10:00 AM,28-May-2026 12:00 PM,15-Jun-2026 12:00 PM,4 vikash khand pinahat k pinahat manona marg nahar ki puliya se jasram k baghel k ghr tak cc karya,4 vikash khand pinahat k pinahat manona marg nahar ki puliya se jasram k baghel k ghr tak cc karya,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,AGRA,282002.0,NA ,NA ,NA ,SE RED AGRA,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE AGRA CIRCLE,02/ SERED 2026-27 DT01-04-2026,2026_REDUP_1150633_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,SE RED AGRA,SE RED AGRA,AOC
,,,,,,,,,2,6135676,TANYA CONSTRUCTION,26-May-2026 01:21 PM,Rejected-Finance,L2,17-Jun-2026 05:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
