Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1142230_1,1843/RED/Tender-File/2025-26 Dt. 31-03-2026,Construction Village Dhakaroli Block Jahangirabad Construction of a black topped roador CC Concrete paving as required leading from the Dhakaroli Link Road towards Dhruv Master residence.,1.0,6077984.0,M/S SUMAN CONTRACTORS,INR,"1,999,921",1,6077921,G S Traders,01-May-2026 01:36 AM,Rejected-Finance,L2,18-Jun-2026 05:57 PM,18-Jun-2026,"INR 1,999,921",180.0,Vishnoo Kumar,18-Jun-2026 06:00 PM,BonDhakroli.pdf (1044.00 KB),ee red bsr,Internal,ee dao,Vishnoo Kumar,13-May-2026 04:35 PM,15-May-2026 12:00 PM,techsummary_2133378.pdf (678.24 KB),Finance,Dhakroli,Vishnoo Kumar,18-Jun-2026 05:54 PM,finance_2133378.pdf,BOQ Comparative Chart,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,18-Jun-2026 05:57 PM,finsummary_2133378.pdf (63.66 KB),Technical,Dhkroli,Vishnoo Kumar,13-May-2026 04:33 PM,technical_2133378.pdf,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1843/RED/Tender-File/2025-26 Dt. 31-03-2026,2026_REDUP_1142230_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction Village Dhakaroli Block Jahangirabad Construction of a black topped roador CC Concrete paving as required leading from the Dhakaroli Link Road towards Dhruv Master residence.,Construction Village Dhakaroli Block Jahangirabad Construction of a black topped roador CC Concrete paving as required leading from the Dhakaroli Link Road towards Dhruv Master residence.,Please refer Tender documents. ,NA ,"20,03,928",Civil Works,NA ,Tender,90.0,180.0,EE RED Bulandshahr,203001.0,EE RED Bulandshahr ,EE RED Bulandshahr ,27-Apr-2026 12:00 PM ,EE RED Bulandshahr,No ,No,27-Apr-2026 09:00 AM,02-May-2026 04:00 PM,27-Apr-2026 09:00 AM,02-May-2026 09:00 AM,NA ,NA ,27-Apr-2026 09:00 AM,02-May-2026 09:00 AM,15-May-2026 12:00 PM,EE RED Bulandshahr,EE RED Bulandshahr,1.0,SBI Bank,"41,000",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,T1,944.0,Nil,Nil,No,AOC
,,,,,,,,,2,6077984,M/S SUMAN CONTRACTORS,01-May-2026 12:06 AM,Accepted-AOC,L1,18-Jun-2026 05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,AOC
