EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"1,08,000",No,fixed,,Nil,Nil,SE RED CIRCLE BAREILLY,SE RED CIRCLE BAREILLY OFFICE,1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,2026_REDUP_1147416_40,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,354",Nil,Nil,No,"Interlocking paving work in village Sihura Khurd Kalan, extending from Shiv Kumar Sharma residence to the area in front of Nandlal Kushwaha residence (Development Block Khutar).","Interlocking paving work in village Sihura Khurd Kalan, extending from Shiv Kumar Sharma residence to the area in front of Nandlal Kushwaha residence (Development Block Khutar).",Please refer Tender documents. ,NA ,"53,56,000",Civil Works - Roads,NA ,Tender,90.0,120.0,KHUTAR SHAHJAHANPUR,242405.0,SE RED CIRCLE BAREILLY OFFICE ,SE RED CIRCLE BAREILLY OFFICE ,14-May-2026 12:00 PM ,SE RED CIRCLE BAREILLY OFFICE,No ,No,13-May-2026 03:00 PM,28-May-2026 04:00 PM,13-May-2026 03:00 PM,28-May-2026 12:00 PM,NA ,NA ,13-May-2026 03:00 PM,28-May-2026 12:00 PM,16-Jun-2026 12:30 PM,1,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENT,AOC,1,6144427,Mahadev Construction,27-May-2026 05:49 PM,Rejected-Finance,due to higher rate,26-Jun-2026 06:30 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE BAREILLY CIRCLE,2026_REDUP_1147416_40,23/RED/Nivida file Shahjahanpur/E Nivida/2026-27 dated 02-04-2026,"Interlocking paving work in village Sihura Khurd Kalan, extending from Shiv Kumar Sharma residence to the area in front of Nandlal Kushwaha residence (Development Block Khutar).",SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILYEEREDDIVSIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,26-Jun-2026 06:30 PM,finsummary_2148645.pdf (1252.83 KB),Finance,financial bid open,RAJESH KUMAR,26-Jun-2026 06:25 PM,finance_2148645.pdf,BOQ Comparative Chart,1.0,6141909.0,M/S SHRI SHIV ENTERPRISES,INR,"6,285,750",SEREDCIRCLEBAREILLY,Internal,SEREDCIRCLEBAREILLYEEREDDIVISIONSHAHJAHANPUREEREDDIVISIONPILIBHITDAOREDDIVISIONSHAHJAHANPUR,RAJESH KUMAR,10-Jun-2026 02:19 PM,16-Jun-2026 12:30 PM,techsummary_2148645.pdf (645.06 KB),Technical,bid open,RAJESH KUMAR,10-Jun-2026 02:15 PM,technical_2148645.pdf,27-Jun-2026,"INR 6,285,750",120.0,RAJESH KUMAR,27-Jun-2026 06:31 PM,40.pdf (333.00 KB),"AOC OF THE WORK - Interlocking paving work in village Sihura Khurd Kalan, extending from Shiv Kumar Sharma residence to the area in front of Nandlal Kushwaha residence (Development Block Khutar).",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,FINANCIAL DOCUMENT,AOC,2,6141909,M/S SHRI SHIV ENTERPRISES,26-May-2026 02:47 AM,Accepted-AOC,DUE TO LOWER RATE,27-Jun-2026 06:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
