Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE MUZAFFARNAGAR,18/RED/Tender19/2025-26 Dated 02.04.2026,2026_REDUP_1140518_55,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT VIKAS BHAWAN 3rd FLOOR MUZAFFARNAGAR,25-Apr-2026 10:00 AM,04-May-2026 12:30 PM,25-Apr-2026 10:00 AM,02-May-2026 12:00 PM,NA ,NA ,25-Apr-2026 10:00 AM,02-May-2026 12:00 PM,13-May-2026 10:00 AM,854.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NIT,Gram Dudhli Ramkumar Kori ke Makan se Pilakhani Marg Tak interlocking karya,Gram Dudhli Ramkumar Kori ke Makan se Pilakhani Marg Tak interlocking karya,Gram Dudhli Ramkumar Kori ke Makan se Pilakhani Marg Tak interlocking karya ,NA ,"21,14,000",Civil Works,NA ,Tender,90.0,90.0,MUZAFFARNAGAR,251001.0,MUZAFFARNAGAR ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT VIKAS BHAWAN 3rd FLOOR MUZAFFARNAGAR ,25-Apr-2026 12:00 PM ,EXECUTIVE ENGINEER RURAL ENGINEERING DEPARTMENT V,No ,No,"43,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,AOC,1.0,6080360.0,M/s J.R. Group,30-Apr-2026 07:04 PM,Accepted-AOC,L1,25-Jun-2026 02:18 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE MUZAFFARNAGAR,2026_REDUP_1140518_55,18/RED/Tender19/2025-26 Dated 02.04.2026,Gram Dudhli Ramkumar Kori ke Makan se Pilakhani Marg Tak interlocking karya,1.0,6080360.0,M/s J.R. Group,INR,"2,113,041.63",EXECUTIVE ENGINEER,Internal,EE DAO AE,Anil Kumar,29-May-2026 10:49 PM,finsummary_2130950.pdf (864.88 KB),Finance,Summary,Anil Kumar,29-May-2026 10:12 PM,finance_2130950.pdf,BOQ Comparative Chart,Technical,Technical Summary,Anil Kumar,09-May-2026 06:01 AM,technical_2130950.pdf,10-Jun-2026,"INR 2,113,041.63",90.0,Anil Kumar,25-Jun-2026 02:18 PM,55A.pdf (627.00 KB),AOC,EXECUTIVE ENGINEER,Internal,EE DAO AE,Anil Kumar,09-May-2026 08:15 AM,13-May-2026 10:00 AM,techsummary_2130950.pdf (327.93 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,6080486.0,RANA CONTRACTOR AND SUPPLIER,01-May-2026 10:56 AM,Rejected-Finance,L2,29-May-2026 10:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
