Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Sanjay kumar Tiwari,20-Apr-2026 02:12 PM,20-Apr-2026 03:00 PM,techsummary_2085416.pdf (511.15 KB),23-May-2026,"INR 1,821,127",90.0,Sanjay kumar Tiwari,03-Jun-2026 11:19 PM,183.pdf (552.00 KB),"SANJAY KUMAR TIWARI, JAI RAM YADAV, POOJA, PURSHOTTAM SINGH",Internal,"EO,AE,JE,AC",Jai Ram Yadav,21-Apr-2026 11:46 AM,finsummary_2085416.pdf (90.09 KB),Finance,FINANCIAL BID OPENED,Jai Ram Yadav,20-Apr-2026 09:19 PM,,BOQ Comparative Chart,1,5992755,AMARAVATI ENTERPRISES,20-Mar-2026 02:04 PM,Rejected-Finance,L2,21-Apr-2026 11:46 AM,1.0,5993466.0,GAUTAM ENTERPRISES,INR,"1,821,127",Technical,TECHNICAL BID OPENED,Jai Ram Yadav,18-Apr-2026 01:31 PM,,Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,2026_DOLBU_1120164_183,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,"WARD NO.22 ME VARIDDHICHAND VISHWKARMA KE GHAR SE VIRJU RAJBHAR , RAMAVADH KUSHWAHA , BRAHMA KUSHWAHA V GHANSHAYAM GUPTA KE GHAR TAK TATHA B.K.MISHRA KE GHAR SE RAKESH MISHRA KE GHAR TAK MITTI , KHADNJA , SIDE WALL NALI NIRMAN KARYA",AOC,28-Feb-2026 11:00 AM,25-Mar-2026 03:00 PM,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,NA ,NA ,28-Feb-2026 11:00 AM,24-Mar-2026 03:00 PM,20-Apr-2026 03:00 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Deoria Deoria,Ref.4222/Ni.Vi.-25-26/Deoria Dated 25-02-2026,2026_DOLBU_1120164_183,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EO NPP DEORIA,NPP DEORIA,"1,82,204",No,fixed,,Nil,Nil,"WARD NO.22 ME VARIDDHICHAND VISHWKARMA KE GHAR SE VIRJU RAJBHAR , RAMAVADH KUSHWAHA , BRAHMA KUSHWAHA V GHANSHAYAM GUPTA KE GHAR TAK TATHA B.K.MISHRA KE GHAR SE RAKESH MISHRA KE GHAR TAK MITTI , KHADNJA , SIDE WALL NALI NIRMAN KARYA","WARD NO.22 ME VARIDDHICHAND VISHWKARMA KE GHAR SE VIRJU RAJBHAR , RAMAVADH KUSHWAHA , BRAHMA KUSHWAHA V GHANSHAYAM GUPTA KE GHAR TAK TATHA B.K.MISHRA KE GHAR SE RAKESH MISHRA KE GHAR TAK MITTI , KHADNJA , SIDE WALL NALI NIRMAN KARYA",Please refer Tender documents. ,NA ,"18,22,039",Civil Works,NA ,Tender,90.0,90.0,NPP DEORIA,274001.0,NA ,NA ,NA ,NPP DEORIA,No ,No,"2,650",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,TENDERNOTICE,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2,5993466,GAUTAM ENTERPRISES,20-Mar-2026 07:28 PM,Accepted-AOC,L1,03-Jun-2026 11:19 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3,5993447,MANI BROTHERS,20-Mar-2026 07:14 PM,Rejected-Finance,L3,21-Apr-2026 11:46 AM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
