Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,UNDER EVALUATION,RATIK RATIK,22-Jan-2026 12:33 PM,,02-Jun-2026,"INR 50,453,927.62",365.0,RAJESH NIM,02-Jun-2026 03:33 PM,28115.pdf (432.00 KB),AWARD LETTER,ACEO_SK,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,RAJESH NIM,25-Feb-2026 07:18 PM,26-Feb-2026 11:00 AM,techsummary_2035329.pdf (216.41 KB),1,5814189,A K ENGINEERING WORKS,19-Jan-2026 04:04 PM,Rejected-Technical,DIS-QUALIFIED,25-Feb-2026 07:18 PM,Greater Noida Industrial Development Authority,2026_GNIDA_1103550_10,SM/(E-TENDER CELL)/2025/691 DATED-31.12.2025,"C/O 60.0M Service Road From ITBP Rotary to Wipro Rotary, Greater Noida.",1.0,5809272.0,M/S VIRAT CONSTRUCTION,INR,"50,453,927.62",ACEO,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,RAJESH NIM,05-May-2026 05:01 PM,finsummary_2035329.pdf (192.11 KB),Finance,UNDER EVALUATION,RAJESH NIM,26-Feb-2026 03:22 PM,,BOQ Comparative Chart,AOC,05-Jan-2026 06:00 PM,22-Jan-2026 11:00 AM,05-Jan-2026 06:00 PM,19-Jan-2026 05:00 PM,NA ,NA ,05-Jan-2026 06:00 PM,19-Jan-2026 05:00 PM,26-Feb-2026 11:00 AM,"10,46,000",No,fixed,,Nil,Nil,"6,770",Nil,Nil,No,Greater Noida Industrial Development Authority,SM/(E-TENDER CELL)/2025/691 DATED-31.12.2025,2026_GNIDA_1103550_10,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",SM_TENDER CELL,GNIDA OFFICE,1.0,SBI Bank,"C/O 60.0M Service Road From ITBP Rotary to Wipro Rotary, Greater Noida.","C/O 60.0M Service Road From ITBP Rotary to Wipro Rotary, Greater Noida.",REFER TENDER DOCUMENT ,NA ,"5,22,55,163",Civil Works,DEVELOPMENT ,Tender,90.0,365.0,GREATER NOIDA,201310.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,AOC
,,,,,,,,,,,,,,,,,,,2,5813361,BALAJI ENTERPRISES,19-Jan-2026 03:44 PM,Rejected-Technical,DIS-QUALIFIED,25-Feb-2026 07:18 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,5810966,M/s Goodhill Builders,17-Jan-2026 01:40 PM,Rejected-Finance,L2,05-May-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,5808724,M/s Juneja Construction Pvt Ltd,19-Jan-2026 10:36 AM,Rejected-Technical,DIS-QUALIFIED,25-Feb-2026 07:18 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,5811122,M/S MANOJ CONSTRUCTION CO,19-Jan-2026 02:28 PM,Rejected-Technical,DIS-QUALIFIED,25-Feb-2026 07:18 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,5812073,M/S RITESH ASSOCIATES,19-Jan-2026 01:41 PM,Rejected-Finance,L3,05-May-2026 05:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,5814234,M/S RUDRAKSHA ENGINEERS AND CONTRACTOR PVT LTD,19-Jan-2026 04:27 PM,Rejected-Technical,DIS-QUALIFIED,25-Feb-2026 07:18 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,5809272,M/S VIRAT CONSTRUCTION,19-Jan-2026 03:33 PM,Accepted-AOC,L1,02-Jun-2026 03:33 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,5814366,PARAS CONSTRUCTIONS,19-Jan-2026 04:54 PM,Rejected-Technical,DIS-QUALIFIED,25-Feb-2026 07:18 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,5803617,RR Construction Co,19-Jan-2026 01:57 PM,Rejected-Technical,DIS-QUALIFIED,25-Feb-2026 07:18 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
