Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,01/NPPKOSI/TIED GRANT/2026-27,2026_DOLBU_1139130_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"5,000",EO NPP KOSIKALAN,KOSIKALAN,No,1.0,FDR - Fixed Deposit,EO NPP KOSIKALAN,EO NPP KOSIKALAN,1.0,Fee/PreQual/Technical,.pdf,technical,"4,17,725",No,fixed,,EO NPP KOSIKALAN,KOSIKALAN,1- WARD NO 22 NIKASA SHETRA STHIT NAGAR PALIKA PARISHAD KOSIKALAN SWAMITV WALE DUMP SIDE PAR CITY SHAHAR SE NIKLNE WALE PAR DAY KUDE KE NISTARAN HETU 40 TON CAPACITY WALE PROSESING PLAN HETU PLETFORM OR TEENSHED KA NERMAN KARY.,1- WARD NO 22 NIKASA SHETRA STHIT NAGAR PALIKA PARISHAD KOSIKALAN SWAMITV WALE DUMP SIDE PAR CITY SHAHAR SE NIKLNE WALE PAR DAY KUDE KE NISTARAN HETU 40 TON CAPACITY WALE PROSESING PLAN HETU PLETFORM OR TEENSHED KA NERMAN KARY.,Please refer Tender documents. ,NA ,"41,77,252",Civil Works - Others,NA ,Tender,90.0,90.0,EO NPP KOSIKALAN,281403.0,NA ,NA ,NA ,EO NPP KOSIKALAN,No ,No,20-Apr-2026 09:00 AM,20-May-2026 03:00 PM,20-Apr-2026 09:00 AM,20-May-2026 02:00 PM,NA ,NA ,20-Apr-2026 09:00 AM,20-May-2026 02:00 PM,25-May-2026 01:20 PM,AOC,Technical,technical,Akhilesh kumar kumar,25-May-2026 01:10 PM,technical_2126874.pdf,EO,Internal,Accountent je civil,Akhilesh kumar kumar,17-Jun-2026 01:14 PM,finsummary_2126874.pdf (584.39 KB),Finance,financial,Akhilesh kumar kumar,17-Jun-2026 01:09 PM,finance_2126874.pdf,BOQ Comparative Chart,EO,Internal,Accountent je civil,Akhilesh kumar kumar,25-May-2026 01:16 PM,25-May-2026 01:20 PM,techsummary_2126874.pdf (345.50 KB),17-Jun-2026,"INR 4,168,897.5",90.0,Akhilesh kumar kumar,17-Jun-2026 01:17 PM,order.pdf (584.00 KB),WARD NO 22 NIKASA SHETRA STHIT NAGAR PALIKA PARISHAD KOSIKALAN SWAMITV WALE DUMP SIDE PAR CITY SHAHAR SE NIKLNE WALE PAR DAY KUDE KE NISTARAN HETU 40 TON CAPACITY WALE PROSESING PLAN HETU PLETFORM OR,Directorate of Local Bodies UP||Nagar Palika Parishad Kosikalan Mathura,2026_DOLBU_1139130_1,01/NPPKOSI/TIED GRANT/2026-27,1- WARD NO 22 NIKASA SHETRA STHIT NAGAR PALIKA PARISHAD KOSIKALAN SWAMITV WALE DUMP SIDE PAR CITY SHAHAR SE NIKLNE WALE PAR DAY KUDE KE NISTARAN HETU 40 TON CAPACITY WALE PROSESING PLAN HETU PLETFORM OR TEENSHED KA NERMAN KARY.,1.0,6128437.0,M/S REKHA GARG,INR,"4,168,897.5",1,6128437,M/S REKHA GARG,19-May-2026 04:20 PM,Accepted-AOC,Accepted,17-Jun-2026 01:17 PM,AOC
,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6129940,M/s SHYAM SUNDER AND COMPANY,20-May-2026 06:46 AM,Rejected-Finance,not Accepted,17-Jun-2026 01:14 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6129951,muni ji associate,20-May-2026 10:13 AM,Rejected-Finance,not Accepted,17-Jun-2026 01:14 PM,AOC
