Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"1,416",Nil,Nil,No,"17,346",No,percentage,3.0%,Nil,Nil,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,23-May-2026 03:00 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,"Work of drain and interlocking tiles in Rajiv Dhirwali Gali, Ward-46, New Freds Colony.","Work of drain and interlocking tiles in Rajiv Dhirwali Gali, Ward-46, New Freds Colony.",Please refer Tender documents. ,NA ,"5,78,186",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_36,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CE,Ghaziabad Nagar Nigam,AOC,Finance,Finance,Rajendra Singh,25-May-2026 12:59 PM,,BOQ Comparative Chart,ce,Internal,,Kuldeep Kumar Tamar,16-Jun-2026 01:52 PM,finsummary_2121949.pdf (544.92 KB),1.0,6079791.0,Sarthak construction,INR,"491,458",Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_36,116/Nirman/2026-27 Date 04.04.2026,"Work of drain and interlocking tiles in Rajiv Dhirwali Gali, Ward-46, New Freds Colony.",1,6078018,A P CONSTRUCTION COMPANY,30-Apr-2026 08:36 AM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,16-Jun-2026,"INR 491,458",60.0,Kuldeep Kumar Tamar,16-Jun-2026 01:57 PM,36116.pdf (545.00 KB),Technical,Technical,Kuldeep Kumar Tamar,30-Apr-2026 06:22 PM,,CE,Internal,,narendra kumar chaudhary,23-May-2026 01:38 PM,23-May-2026 03:00 PM,techsummary_2121949.pdf (992.59 KB),AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6066347,A S CONSTRUCTIONS,25-Apr-2026 03:42 PM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,6078102,Bhushan Enterprises,29-Apr-2026 11:26 PM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,6072537,JAIVEER SINGH CONTRACTOR,28-Apr-2026 01:47 PM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,6077768,JP SHAKTI CONSTRUCTION,29-Apr-2026 08:25 PM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,6078079,MAHAKALESHWAR ENGINEERS,29-Apr-2026 04:38 PM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,6079413,MS BUILDWELL,30-Apr-2026 01:11 PM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,6063536,M/S CHOUDHARY ASSOCIATES,23-Apr-2026 08:09 AM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,6072877,M/S GAUD AND CONSTRUCTION COMPNAY,27-Apr-2026 07:17 PM,Rejected-Technical,all requried not complete,23-May-2026 01:38 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,6080511,M/S MAGIC SOLUTIONS,30-Apr-2026 02:39 PM,Rejected-Finance,L2,16-Jun-2026 01:52 PM,,,,,,,,,,,,,,,,,,,AOC
