S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1,6196636,JS cONSTRUCTIONS,16-Jun-2026 08:49 AM,Accepted-AOC,L1,30-Jun-2026 09:07 AM,"U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",2026_UPIDC_1150888_6,01/EE/2026-27,01/EE/2026-27(LOT-3),1.0,6196636.0,JS cONSTRUCTIONS,INR,"569,888",30-Jun-2026,"INR 569,888",45.0,himanshu dharia,30-Jun-2026 09:07 AM,boq3.pdf (22.00 KB),L1,Himanshu Dharia,Internal,SN UPENDRA,himanshu dharia,19-Jun-2026 06:19 AM,19-Jun-2026 11:00 AM,techsummary_2172765.pdf (232.61 KB),Finance,02 Bidder Admitted,himanshu dharia,30-Jun-2026 08:54 AM,finance_2172765.pdf,BOQ Comparative Chart,Himanshu Dharia,Internal,SN UPENDRA ROHIT,himanshu dharia,30-Jun-2026 08:59 AM,finsummary_2172765.pdf (21.72 KB),Technical,02 Bidder Submitted your Bid 02 Bidder admitted,himanshu dharia,19-Jun-2026 06:10 AM,technical_2172765.pdf,AOC,1.0,SBI Bank,11-Jun-2026 11:00 AM,16-Jun-2026 02:00 PM,11-Jun-2026 11:00 AM,16-Jun-2026 12:00 PM,NA ,NA ,11-Jun-2026 11:00 AM,16-Jun-2026 12:00 PM,19-Jun-2026 11:00 AM,1,Fee/PreQual/Technical,.pdf,As per TD,01/EE/2026-27(LOT-3),01/EE/2026-27(LOT-3),Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,45.0,MORADABAD,244001.0,NA ,NA ,NA ,MEERUT,No ,No,854.0,Nil,Nil,No,EXECUTIVE ENGINEER,"OF OF EE MGCCD-6, MEERUT","U P Irrigation Department (Civil)||Chief Engineer-Madhya Ganga, Aligarh||MGCC Circle-I, Meerut||MGCCD-6, Meerut",01/EE/2026-27,2026_UPIDC_1150888_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"66,000",No,fixed,,Nil,Nil,AOC
2,6199143,Kedar Traders,16-Jun-2026 11:59 AM,Rejected-Finance,L2,30-Jun-2026 08:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,Finance,.xls,As per BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
