Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Beautification of Lal Imli chauraha chunniganj in ward-42 zone-04,Beautification of Lal Imli chauraha chunniganj in ward-42 zone-04,Please refer Tender documents. ,NA ,"3,60,053",Civil Works,NA ,Tender,90.0,30.0,ward-42,208001.0,NA ,NA ,NA ,Chief Engineer office Motijheel,No ,No,590.0,Nil,Nil,No,"Kanpur Municipal Corporation, Kanpur, UP",897/A.A.-4/25-26,2026_NNKAN_1135825_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,"36,005",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,13-Apr-2026 06:55 PM,17-Apr-2026 04:00 PM,13-Apr-2026 06:55 PM,17-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 06:55 PM,17-Apr-2026 03:00 PM,1.0,SBI Bank,Chief Engineer office Motijheel,Chief Engineer office Motijheel,AOC,"Jr. Engg., Exe. Engg.",Internal,"Jr. Engg., Exe. Engg.",MEENAKSHI AGARWAL,07-May-2026 01:45 PM,techsummary_2120643.pdf (202.34 KB),"Jr. Engg., Exe. Engg.",Internal,"Jr. Engg., Exe. Engg.",MEENAKSHI AGARWAL,07-May-2026 01:47 PM,finsummary_2120643.pdf (397.78 KB),Finance,Bids submitted,MEENAKSHI AGARWAL,24-Apr-2026 07:19 PM,finance_2120643.pdf,BOQ Comparative Chart,1.0,6053082.0,STAR CONTRACTORS,INR,"306,045","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1135825_1,897/A.A.-4/25-26,Beautification of Lal Imli chauraha chunniganj in ward-42 zone-04,1,6053082,STAR CONTRACTORS,17-Apr-2026 01:46 AM,Accepted-AOC,AOC issue,12-Jun-2026 09:12 PM,19-May-2026,"INR 306,045",30.0,MEENAKSHI AGARWAL,12-Jun-2026 09:12 PM,lal_imali_chunniganj_AOC.pdf (78.00 KB),AOC issue,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy pending work Affidavit,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6053583,ZOYA CONSTRUCTION,17-Apr-2026 11:07 AM,Rejected-Finance,Not selected in lottery,07-May-2026 01:47 PM,,,,,,,,AOC
