Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Renovation of the administrative building of District Rural Development Institute, Khairabad, Sitapur, Block- Khairabad","Renovation of the administrative building of District Rural Development Institute, Khairabad, Sitapur, Block- Khairabad",Please refer Tender documents. ,NA ,"16,96,861",Civil Works,NA ,Tender,90.0,90.0,"Khairabad, Sitapur.",261001.0,NA ,NA ,NA ,"Office of EE RED, Sitapur.",No ,No,"32,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,1530/RED/Tender/2025-26,2026_REDUP_1117099_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE RED Sitapur,"Vikas Bhawan, Sitapur",944.0,Nil,Nil,No,17-Feb-2026 12:30 PM,23-Feb-2026 12:30 PM,17-Feb-2026 12:30 PM,23-Feb-2026 12:00 PM,NA ,NA ,17-Feb-2026 12:30 PM,23-Feb-2026 12:00 PM,05-Mar-2026 12:30 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Technical,AOC,Finance,Two bid have been received and send For Financial Evaluation,Gyanendra Kumar,06-Mar-2026 12:02 PM,,BOQ Comparative Chart,Gyanendra Kumar,Internal,,Gyanendra Kumar,25-Feb-2026 04:32 PM,05-Mar-2026 12:30 PM,techsummary_2075326.pdf (586.75 KB),Technical,Three bid have been received and send For Technical Evaluation,Gyanendra Kumar,23-Feb-2026 02:32 PM,,Ravi Pratap Singh,Internal,,Ravi Pratap Singh,16-Jun-2026 12:55 PM,finsummary_2075326.pdf (519.90 KB),16-Jun-2026,"INR 1,686,680",90.0,Ravi Pratap Singh,16-Jun-2026 12:58 PM,78.pdf (932.00 KB),1,5910633,DPS Construction,22-Feb-2026 04:44 PM,Accepted-AOC,L1,16-Jun-2026 12:58 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE SITAPUR,2026_REDUP_1117099_1,1530/RED/Tender/2025-26,"Renovation of the administrative building of District Rural Development Institute, Khairabad, Sitapur, Block- Khairabad",1.0,5910633.0,DPS Construction,INR,"1,686,680",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5912510,M/S ABHINAV CONTRACTORS,22-Feb-2026 08:38 PM,Rejected-Finance,Higher Rate Quoted,16-Jun-2026 12:55 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5906149,M/S Jai Singh Verma,21-Feb-2026 02:06 PM,Rejected-Technical,Non-responsive,25-Feb-2026 04:32 PM,,,,,,,,,,AOC
