Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
27-Apr-2026 02:00 PM,04-May-2026 04:00 PM,27-Apr-2026 02:00 PM,04-May-2026 03:00 PM,NA ,NA ,27-Apr-2026 02:00 PM,04-May-2026 03:00 PM,20-May-2026 09:00 AM,"PM,UNIT-10,UPPCL","Project Manager, U.P. Projects Corporation Ltd., Unit-10, Udayog Kunj Road Near Haluwakhada (Rajwaha) Nauraiya Kheda (Nahar Kothi), Dada Nagar, Kanpur","67,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow||Unit-10 Kanpur,01/PM-10/UPPCL/2026-27/Dated 20-04-2026,2026_UPPRC_1142453_18,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of CC road in Block Kabrai village Kahra (Majha Thok Sirsi Kalan) and village Kharka in District-Mahoba.,Construction of CC road in Block Kabrai village Kahra (Majha Thok Sirsi Kalan) and village Kharka in District-Mahoba.,Construction of CC road in Block Kabrai village Kahra (Majha Thok Sirsi Kalan) and village Kharka in District-Mahoba. ,NA ,,Road Works,CC Road ,Tender,90.0,90.0,MAHOBA,210427.0,NA ,NA ,NA ,"PM,UNIT-10,UPPCL",No ,No,"5,900",Nil,Nil,No,AOC,1,6079886,AVADHESH CONSTRUCTION,03-May-2026 01:56 PM,Rejected-Finance,L2,23-May-2026 09:30 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-5 Lucknow||Unit-10 Kanpur,2026_UPPRC_1142453_18,01/PM-10/UPPCL/2026-27/Dated 20-04-2026,Construction of CC road in Block Kabrai village Kahra (Majha Thok Sirsi Kalan) and village Kharka in District-Mahoba.,"PM,UNIT-10,KANPUR",Internal,"PM,UNIT-13,BANDA,ACCOUNTANT,UNIT-10,KANPUR",SATYA PRIYA,23-May-2026 09:30 PM,finsummary_2133897.pdf (1085.84 KB),Finance,Summary18,SATYA PRIYA,23-May-2026 09:16 PM,finance_2133897.pdf,BOQ Comparative Chart,1.0,6085445.0,DINESH KUMAR CHATURVEDI,INR,"3,328,999.12",1.0,Corrigendum1142453_18,Revocation,23-May-2026 08:34 PM,Samitiltr.pdf ,1068.86,Financial Opening,Technical,Summary1142453_18,SATYA PRIYA,19-May-2026 04:45 PM,technical_2133897.pdf,27-May-2026,"INR 3,328,999.12",90.0,SATYA PRIYA,04-Jun-2026 08:27 PM,AOC18.pdf (413.00 KB),LOWEST BIDDER,"PM,UNIT-10,KANPUR",Internal,"PM,UNIT-13,BANDA,ACCT.,UNIT-10,KANPUR",SATYA PRIYA,19-May-2026 06:33 PM,20-May-2026 09:00 AM,techsummary_2133897.pdf (1085.84 KB),AOC
,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,6085445,DINESH KUMAR CHATURVEDI,04-May-2026 11:35 AM,Accepted-AOC,L1,04-Jun-2026 08:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
