Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"4,500","EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",No,"3,84,400",No,percentage,10.0%,"EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",01-Jun-2026 05:00 PM,23-Jun-2026 02:00 PM,01-Jun-2026 05:00 PM,22-Jun-2026 11:00 AM,NA ,NA ,01-Jun-2026 05:00 PM,22-Jun-2026 11:00 AM,25-Jun-2026 10:00 AM,1.0,RTGS - RTGS Payment,"EO Nagar Panchayat Amila, Mau","EO Nagar Panchayat Amila, Mau",Directorate of Local Bodies UP||Nagar Panchayat Amila Mau,130/NPA/CMNSY/2026-27 18,2026_DOLBU_1155853_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,NP Amila CMNSY Yojana,Ward No. 12 Mo. Baba Thanidas Me Bechan Singh Ke Khet Se Kharbhan Singh Ka Bagicha Hote Hue Harikesh Ke Makan Tak CC Road Ka Karya,Please refer Tender documents. ,"EO Nagar Panchayat Amila, Mau ","38,44,000",Civil Works - Roads,NA ,Tender,90.0,120.0,"EO Nagar Panchayat Amila, Mau",275301.0,NA ,NA ,NA ,"EO Nagar Panchayat Amila, Mau",No ,No,AOC,"EO Nagar Panchayat Amila, Mau",Internal,,Rajesh Kumar,24-Jun-2026 12:30 PM,25-Jun-2026 10:00 AM,techsummary_2165357.pdf (87.65 KB),Finance,Chart,Rajesh Kumar,27-Jun-2026 08:14 PM,finance_2165357.pdf,BOQ Comparative Chart,"EO Nagar Panchayat Amila, Mau",Internal,,Rajesh Kumar,27-Jun-2026 08:17 PM,finsummary_2165357.pdf (87.65 KB),Technical,Tec,Rajesh Kumar,24-Jun-2026 12:27 PM,technical_2165357.pdf,1,6210579,M/S A K CONSTRUCTION,21-Jun-2026 05:19 PM,Accepted-AOC,LOW ESTIMATE RATE,27-Jun-2026 08:20 PM,1.0,6210579.0,M/S A K CONSTRUCTION,INR,"3,832,468",Directorate of Local Bodies UP||Nagar Panchayat Amila Mau,2026_DOLBU_1155853_1,130/NPA/CMNSY/2026-27 18,NP Amila CMNSY Yojana,27-Jun-2026,"INR 3,832,468",120.0,Rajesh Kumar,27-Jun-2026 08:20 PM,18AOC.pdf (631.00 KB),AOC
2.0,Finance,.xls,Finencial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6210432,M/S BHARAT TIWARI,21-Jun-2026 04:19 PM,Rejected-AOC,HIGH ESTIMATE RATE,27-Jun-2026 08:20 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6210674,M/S B S CONSTRUCTION,21-Jun-2026 06:03 PM,Rejected-AOC,HIGH ESTIMATE RATE,27-Jun-2026 08:20 PM,,,,,,,,,,,,,,,,AOC
