Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
01-Jun-2026,"INR 4,324,805",60.0,narendra kumar chaudhary,01-Jun-2026 01:00 PM,53107.pdf (414.00 KB),Technical,Technical,narendra kumar chaudhary,05-Mar-2026 02:06 PM,,CE,Internal,,narendra kumar chaudhary,30-Mar-2026 04:10 PM,02-Apr-2026 01:00 PM,techsummary_2062512.pdf (732.09 KB),ce,Internal,,narendra kumar chaudhary,01-Jun-2026 12:57 PM,finsummary_2062512.pdf (413.78 KB),Finance,Finance,narendra kumar chaudhary,02-Apr-2026 04:13 PM,,BOQ Comparative Chart,1.0,5941225.0,M/S LISA CONSTRUCTION,INR,"4,324,805",1,5938717,A.S Constructions,28-Feb-2026 02:10 PM,Rejected-Finance,L2,01-Jun-2026 12:57 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1113580_53,107/Nirman/2025-26 Date 16.01.2026,"Road improvement work by drain and CC from Sarvodaya School to Mem Singh house in Ward 07, Shiv Vihar Biharipura.",AOC,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,09-Feb-2026 09:00 AM,28-Feb-2026 03:30 PM,09-Feb-2026 09:00 AM,28-Feb-2026 03:00 PM,NA ,NA ,09-Feb-2026 09:00 AM,28-Feb-2026 03:00 PM,02-Apr-2026 01:00 PM,"1,52,640",No,percentage,3.0%,Nil,Nil,CE,Ghaziabad Nagar Nigam,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,107/Nirman/2025-26 Date 16.01.2026,2026_DOLBU_1113580_53,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"3,297",Nil,Nil,No,"Road improvement work by drain and CC from Sarvodaya School to Mem Singh house in Ward 07, Shiv Vihar Biharipura.","Road improvement work by drain and CC from Sarvodaya School to Mem Singh house in Ward 07, Shiv Vihar Biharipura.",Please refer Tender documents. ,NA ,"50,88,007",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5941225,M/S LISA CONSTRUCTION,28-Feb-2026 01:27 PM,Accepted-AOC,L1,01-Jun-2026 01:00 PM,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5941260,M/S MAA PADMAWATI CONSTRUCTION,28-Feb-2026 01:07 PM,Rejected-Finance,L2,01-Jun-2026 12:57 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5919888,M/S VIKAS CONSTRUCTION CO,28-Feb-2026 02:03 PM,Rejected-Technical,all requried not complete,30-Mar-2026 04:10 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5934564,R B S CONSTRUCTION COMPANY,28-Feb-2026 01:11 PM,Rejected-Finance,L2,01-Jun-2026 12:57 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
