Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Improvement of drain and road by Interlocking tiles Alok singh house to Mainawati main road in Khyaura ward -44 Under Zone 6.,Improvement of drain and road by Interlocking tiles Alok singh house to Mainawati main road in Khyaura ward -44 Under Zone 6.,Please refer Tender documents. ,NA ,"9,81,156",Civil Works,NA ,Tender,180.0,45.0,kanpur,208001.0,NA ,NA ,NA ,ce knn moti jheel,No ,No,"98,116",No,percentage,10.0%,Nil,Nil,ce knn,ce knn moti jheel,"1,180",Nil,Nil,No,1.0,date extension,Date,,1.0,SBI Bank,1.0,Fee/PreQual/Technical/Finance,.pdf,pdf,23-Feb-2026 09:00 AM,28-Feb-2026 04:00 PM,23-Feb-2026 09:00 AM,28-Feb-2026 03:00 PM,NA ,NA ,23-Feb-2026 09:00 AM,28-Feb-2026 03:00 PM,"Kanpur Municipal Corporation, Kanpur, UP",737/AA-6/2025-26,2026_NNKAN_1119169_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,EE-6,Internal,,Tota Ram,28-Apr-2026 02:42 PM,finsummary_2080629.pdf (42.02 KB),EE-6,Internal,,Tota Ram,28-Apr-2026 02:28 PM,techsummary_2080629.pdf (42.02 KB),03-Jun-2026,"INR 821,067",45.0,Tota Ram,08-Jun-2026 11:54 AM,1111.pdf (188.00 KB),work order,1,5940975,A K ENTERPRISES,28-Feb-2026 12:04 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,1.0,5924336.0,SHRI RAM ENTERPRISES,INR,"821,067","Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1119169_1,737/AA-6/2025-26,Improvement of drain and road by Interlocking tiles Alok singh house to Mainawati main road in Khyaura ward -44 Under Zone 6.,Finance,All Bids are admitted,Tota Ram,17-Mar-2026 06:53 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,5930159,ARYA CONSTRUCTION,25-Feb-2026 09:22 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,5934964,ATUL CONSTRUCTIONS,26-Feb-2026 09:25 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,5936655,M/s India Traders,27-Feb-2026 03:39 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,5935621,M/S M.S.ENTERPRISES,27-Feb-2026 08:36 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,5939829,M/s S M A traders,28-Feb-2026 01:45 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,5923168,M/s S.R. ENTERPRISES,24-Feb-2026 11:38 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,5923719,OM ENTERPRISES,25-Feb-2026 02:58 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,5936663,SAI TRADERS,28-Feb-2026 07:11 AM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,5929338,SHRI RAM CONSTRUCTION AND SUPPLIER,25-Feb-2026 01:48 PM,Rejected-Finance,No Lottery Winner,28-Apr-2026 02:42 PM,,,,,,,,,,,,,,,,AOC
