Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,1137_NP Pipiganj_05-02-2026,2026_DOLBU_1112987_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"3,250",Nagar Panchayat Pipiganj,Gorakhpur,No,Ward No. 4 me Coverd RCC Nalia Work,Ward No. 4 me Coverd RCC Nalia Work,Please refer Tender documents. ,NA ,"32,28,000",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Pipiganj,273165.0,NA ,NA ,NA ,Nagar Panchayat Pipiganj,No ,No,1.0,RTGS - RTGS Payment,06-Feb-2026 05:00 PM,16-Feb-2026 03:00 PM,06-Feb-2026 05:00 PM,16-Feb-2026 12:00 PM,NA ,NA ,06-Feb-2026 05:00 PM,16-Feb-2026 12:00 PM,30-May-2026 03:50 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,"3,22,800",No,percentage,10.0%,Nagar Panchayat Pipiganj,Gorakhpur,Executive Officer,Nagar Panchayat Pipiganj Gorakhpur,AOC,Technical,3 Bids,Anjneya Mishra,30-May-2026 03:42 PM,technical_2059330.pdf,Ajneya Mishra,Internal,"Pravin Gupta, Vivek Shrivastwa",Anjneya Mishra,03-Jun-2026 11:15 AM,finsummary_2059330.pdf (507.02 KB),Finance,3 Bids,Anjneya Mishra,03-Jun-2026 11:13 AM,finance_2059330.pdf,BOQ Comparative Chart,Anjneya Mishra,Internal,"Pravin Gupta, Vivek Shrivastwa",Anjneya Mishra,30-May-2026 03:45 PM,30-May-2026 03:50 PM,techsummary_2059330.pdf (518.20 KB),04-Jun-2026,"INR 3,227,741",90.0,Anjneya Mishra,05-Jun-2026 05:28 PM,chaudharyraj1.pdf (482.00 KB),Chaudhary construction,1,5875429,CHAUDHARY CONSTRUCTION,15-Feb-2026 07:59 PM,Accepted-AOC,L1,05-Jun-2026 05:28 PM,1.0,5875429.0,CHAUDHARY CONSTRUCTION,INR,"3,227,741",Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,2026_DOLBU_1112987_1,1137_NP Pipiganj_05-02-2026,Ward No. 4 me Coverd RCC Nalia Work,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5875334,M/S R.R.D CONSTRUCTION,15-Feb-2026 07:47 PM,Rejected-Finance,L3,03-Jun-2026 11:15 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5875479,PATEL CONSTRUCTION,15-Feb-2026 08:09 PM,Rejected-Finance,L2,03-Jun-2026 11:15 AM,,,,,,,,,,AOC
