S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,SBI Bank,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SHAMLI,1315/EERED/TENDER/2025-26/ Dt 30-03-2026,2026_REDUP_1141687_22,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Technical Docoments,25-Apr-2026 06:00 PM,02-May-2026 12:30 PM,25-Apr-2026 06:00 PM,30-Apr-2026 06:30 PM,NA ,NA ,25-Apr-2026 06:00 PM,30-Apr-2026 06:30 PM,12-May-2026 04:45 PM,EE RED Shamli,EE RED Office Shamli,"42,000",Yes,fixed,,Nil,Nil,GRAM TAPRANA KA MAZRA GUJJARPUR MAI RAJWAHE SE LEKAR NOSHAD KE MAKAN TAK INTERLOCKING NIRMAN KARYA.,GRAM TAPRANA KA MAZRA GUJJARPUR MAI RAJWAHE SE LEKAR NOSHAD KE MAKAN TAK INTERLOCKING NIRMAN KARYA.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,SHAMLI,247776.0,NA ,NA ,NA ,EE RED Office Shamli,No ,No,"2,714",Nil,Nil,No,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SHAMLI,2026_REDUP_1141687_22,1315/EERED/TENDER/2025-26/ Dt 30-03-2026,GRAM TAPRANA KA MAZRA GUJJARPUR MAI RAJWAHE SE LEKAR NOSHAD KE MAKAN TAK INTERLOCKING NIRMAN KARYA.,1,6072919,AMAN CONTRACTOR & SUPPLIERS,29-Apr-2026 10:45 AM,Rejected-Finance,L2,16-Jun-2026 11:24 AM,1.0,6078534.0,M/S CHOUDHARY CONSTRUCTION,INR,"2,042,649.729",Executive Engineer,Internal,,Avinash Kumar,16-Jun-2026 11:24 AM,finsummary_2133206.pdf (413.04 KB),Finance,OK,Parmod Kumar,12-May-2026 05:17 PM,,BOQ Comparative Chart,Technical,ok,Parmod Kumar,02-May-2026 05:08 PM,technical_2133206.pdf,16-Jun-2026,"INR 2,042,649.729",90.0,Avinash Kumar,16-Jun-2026 11:27 AM,BidFoundsuccessfull.pdf (19.00 KB),Executive Engineer,Internal,,Avinash Kumar,12-May-2026 04:40 PM,12-May-2026 04:45 PM,techsummary_2133206.pdf (1490.81 KB),AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6078534,M/S CHOUDHARY CONSTRUCTION,29-Apr-2026 08:20 PM,Accepted-AOC,L1,16-Jun-2026 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
