Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1158410_2,125/Nirman/2026-27 Date 06.06.2026,Work on installing a view cutter on the east side of the Municipal Corporation land near the Shanti Nagar STP plant in Ward 27. 0.00 to 45.00 change,1.0,6193444.0,Cotec Builders,INR,"2,549,329",1,6193444,Cotec Builders,14-Jun-2026 10:23 PM,Accepted-AOC,L1,25-Jun-2026 05:02 PM,25-Jun-2026,"INR 2,549,329",7.0,narendra kumar chaudhary,25-Jun-2026 05:02 PM,02125.pdf (411.00 KB),CE,Internal,,Kuldeep Kumar Tamar,20-Jun-2026 06:30 PM,22-Jun-2026 10:00 AM,techsummary_2171038.pdf (513.86 KB),Finance,Finance,narendra kumar chaudhary,22-Jun-2026 11:16 AM,,BOQ Comparative Chart,ce,Internal,,narendra kumar chaudhary,25-Jun-2026 04:59 PM,finsummary_2171038.pdf (411.02 KB),Technical,Technical,narendra kumar chaudhary,17-Jun-2026 01:21 PM,,AOC,09-Jun-2026 01:00 PM,16-Jun-2026 03:30 PM,09-Jun-2026 01:00 PM,16-Jun-2026 03:00 PM,NA ,NA ,09-Jun-2026 01:00 PM,16-Jun-2026 03:00 PM,22-Jun-2026 10:00 AM,"1,416",Nil,Nil,No,CE,Ghaziabad Nagar Nigam,"89,976",No,percentage,3.0%,Nil,Nil,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,125/Nirman/2026-27 Date 06.06.2026,2026_DOLBU_1158410_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Work on installing a view cutter on the east side of the Municipal Corporation land near the Shanti Nagar STP plant in Ward 27. 0.00 to 45.00 change,Work on installing a view cutter on the east side of the Municipal Corporation land near the Shanti Nagar STP plant in Ward 27. 0.00 to 45.00 change,Please refer Tender documents. ,NA ,"29,99,211",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,1,Fee/PreQual/Technical,.pdf,Tender Notice,AOC
,,,,,,,,,2,6188090,R G Buildtech Engineers Limited,13-Jun-2026 05:12 PM,Rejected-Finance,L2,25-Jun-2026 04:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC
