Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,13-May-2026 03:02 PM,14-May-2026 12:00 PM,techsummary_2133301.pdf (443.50 KB),Technical,Technical bid open,Sujit Kumar Sinha,07-May-2026 03:26 PM,technical_2133301.pdf,26-May-2026,"INR 3,805,053.1",180.0,Sujit Kumar Sinha,08-Jun-2026 05:53 PM,Document2.pdf (26.00 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,2026_REDUP_1142116_12,"1313/RED/E-Tender(39)/2025-26, Dt. 23.03.2026",Vikas Khan Mihipurwa ke Gram Panchayat Matehi Kala me Sonu Nishad ke ghar se Radhey Shyam Gautam Master Sahab ke ghar tak C.C. road nirman karya_12,1,6089534,M/S AMRIT SATYA,06-May-2026 05:54 AM,Accepted-AOC,AOC,08-Jun-2026 05:53 PM,Sujit Kumar Sinha,Internal,,Sujit Kumar Sinha,15-May-2026 01:43 PM,finsummary_2133301.pdf (43.16 KB),Finance,Financial bid open,Sujit Kumar Sinha,14-May-2026 05:01 PM,finance_2133301.pdf,BOQ Comparative Chart,1.0,6089534.0,M/S AMRIT SATYA,INR,"3,805,053.1",AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE DEVIPATAN CIRCLE||EE BAHRAICH,"1313/RED/E-Tender(39)/2025-26, Dt. 23.03.2026",2026_REDUP_1142116_12,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,27-Apr-2026 12:00 PM,07-May-2026 12:30 PM,27-Apr-2026 12:00 PM,06-May-2026 12:00 PM,NA ,NA ,27-Apr-2026 12:00 PM,06-May-2026 12:00 PM,14-May-2026 12:00 PM,1,Fee/PreQual/Technical,.pdf,Technical bid document,"64,000",No,fixed,,Nil,Nil,Vikas Khan Mihipurwa ke Gram Panchayat Matehi Kala me Sonu Nishad ke ghar se Radhey Shyam Gautam Master Sahab ke ghar tak C.C. road nirman karya_12,Vikas Khan Mihipurwa ke Gram Panchayat Matehi Kala me Sonu Nishad ke ghar se Radhey Shyam Gautam Master Sahab ke ghar tak C.C. road nirman karya_12,Please refer Tender documents. ,NA ,"32,01,000",Civil Works,NA ,Tender,90.0,180.0,Bahraich,271801.0,NA ,NA ,NA ,"Office of the Executive Engineer, R.E.D. Bahraich",No ,No,Executive Enginer,"Office of the Executive Engineer, R.E.D. Bahraich","2,384",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6089537,PUSHPA ENTERPRISES,06-May-2026 06:12 AM,Rejected-Finance,High,15-May-2026 01:43 PM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
