Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Mubarakpur Azamgarh,37/NNPMUBARAKPUR/2026-27 DT-13-04-2026,2026_DOLBU_1136955_8,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,103.0,EO,MUBARAKPUR,No,1,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Please refer tender documents,WORK NO 08,WORK NO 08,Please refer Tender documents. ,NA ,"87,344",Civil Works,NA ,Tender,60.0,60.0,MUBARAKPUR,276404.0,NA ,NA ,NA ,NPP MUBARAKPUR,No ,No,EXCUTIVE OFFICER,NPP MUBARAKPUR,15-Apr-2026 12:00 PM,07-May-2026 04:30 PM,15-Apr-2026 12:15 PM,06-May-2026 04:00 PM,NA ,NA ,15-Apr-2026 12:30 PM,06-May-2026 04:00 PM,18-May-2026 01:00 PM,"8,734",No,percentage,10.0%,EO,MUBARAKPUR,AOC,MR SANJEEV OJHA,Internal,Vinay Kumar Mishra (EO) Ghulam Jeelani (JE) Rajan Chaudhari (Lipik),Vinay Kumar Mishra,19-May-2026 09:32 PM,finsummary_2123119.pdf (183.43 KB),Technical,Three bidders participated in this tender all submitted for technical evaluation,Vinay Kumar Mishra,12-May-2026 07:20 PM,,MR SANJEEV OJHA,Internal,Vinay Kumar Mishra (EO) Ghulam Jeelani (JE) Rajan Chaudhari (Lipik),Vinay Kumar Mishra,18-May-2026 11:47 AM,18-May-2026 01:00 PM,techsummary_2123119.pdf (345.47 KB),Finance,Send for Financial Evolution,Vinay Kumar Mishra,18-May-2026 03:59 PM,,BOQ Comparative Chart,Directorate of Local Bodies UP||Nagar Palika Parishad Mubarakpur Azamgarh,2026_DOLBU_1136955_8,37/NNPMUBARAKPUR/2026-27 DT-13-04-2026,WORK NO 08,1.0,6085707.0,RAM PRASAD YADAV,INR,"86,252.2",1.0,6089358.0,faruqi construction,05-May-2026 04:19 PM,Rejected-Finance,L3,19-May-2026 09:32 PM,19-May-2026,"INR 86,252.2",60.0,Vinay Kumar Mishra,03-Jun-2026 07:50 PM,08.pdf (375.00 KB),AOC
,,,,,,,,,,,,,,,,,,2,BC - Bankers Cheque,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6086668.0,KRISHNA CONSTRUCTION,05-May-2026 09:10 AM,Rejected-Finance,L2,19-May-2026 09:32 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6085707.0,RAM PRASAD YADAV,04-May-2026 01:25 PM,Accepted-AOC,L1,03-Jun-2026 07:50 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
