Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2187/red/tender/unnao/25-26 dt- 10-02-2026,2026_REDUP_1123792_16,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,000",Nil,Nil,No,Vikash Khand Bighapur ke Karmi Dariyabad main Road se Abadi Bhag me Interlocking kary va Nali Nirman karye.,Vikash Khand Bighapur ke Karmi Dariyabad main Road se Abadi Bhag me Interlocking kary va Nali Nirman karye.,Plz Refer Doc ,NA ,"21,14,000",Civil Works,NA ,Tender,90.0,90.0,Unnao,209801.0,NA ,NA ,NA ,EE RED UNNAO,No ,No,1.0,SBI Bank,11-Mar-2026 04:30 PM,18-Mar-2026 12:30 PM,11-Mar-2026 04:30 PM,18-Mar-2026 12:00 PM,NA ,NA ,11-Mar-2026 04:30 PM,18-Mar-2026 12:00 PM,25-Mar-2026 05:10 PM,Er Narendra Chaudhary,Vikas Bhawan Unnao,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"42,300",Yes,fixed,,Nil,Nil,AOC,1,5972759,M/S DHIRENDRA SINGH,15-Mar-2026 06:51 AM,Rejected-AOC,l2,15-Jun-2026 05:04 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE LUCKNOW CIRCLE||EE UNNAO,2026_REDUP_1123792_16,2187/red/tender/unnao/25-26 dt- 10-02-2026,Vikash Khand Bighapur ke Karmi Dariyabad main Road se Abadi Bhag me Interlocking kary va Nali Nirman karye.,Er Narendra Chaudhry,Internal,,Narendra chaudhary,15-Jun-2026 05:03 PM,finsummary_2094151.pdf (1107.25 KB),Finance,Summary,Narendra chaudhary,15-Jun-2026 05:01 PM,finance_2094151.pdf,BOQ Comparative Chart,1.0,5974311.0,RAJESH KUMAR PAL,INR,"2,113,785.32",Er Narendra Chaudrary,Internal,,Narendra chaudhary,25-Mar-2026 05:03 PM,25-Mar-2026 05:10 PM,techsummary_2094151.pdf (468.65 KB),Technical,summary,Narendra chaudhary,25-Mar-2026 05:01 PM,technical_2094151.pdf,15-Jun-2026,"INR 2,113,785.32",90.0,Narendra chaudhary,15-Jun-2026 05:04 PM,Karmi0004.pdf (1107.00 KB),l1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,AOC,2,5974311,RAJESH KUMAR PAL,15-Mar-2026 02:01 PM,Accepted-AOC,l1,15-Jun-2026 05:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
