Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
20-May-2026,"INR 489,044.73",75.0,Shailendra Kumar Singh,02-Jun-2026 11:58 AM,w532.pdf (380.00 KB),AOC,1.0,6038369.0,M/S DEEPANSHI CONSTRUCTION CO.,09-Apr-2026 01:00 PM,Rejected-Finance,Above,06-May-2026 06:29 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Muradnagar Ghaziabad,2026_DOLBU_1131598_5,2085/NPPM/AKE-Nivida/2025-26 dt. 28.03.2026,Civil Works,1.0,6038003.0,M/s Jai Ambika Const Co,INR,"489,044.73",Finance,All Bid Admitted,satendra singh,01-May-2026 03:49 PM,,BOQ Comparative Chart,Executive Officer,Internal,EO/JE/Lipik,Shailendra Kumar Singh,01-May-2026 02:42 PM,01-May-2026 03:00 PM,techsummary_2111684.pdf (443.29 KB),Technical,All Bid Admitted,satendra singh,10-Apr-2026 12:20 PM,,Executive Officer,Internal,EO/JE/Lipik,Shailendra Kumar Singh,06-May-2026 06:29 PM,finsummary_2111684.pdf (505.78 KB),AOC,"49,012",No,percentage,10.0%,Executive Officer,Nagar Palika Parishad Muradnagar,Directorate of Local Bodies UP||Nagar Palika Parishad Muradnagar Ghaziabad,2085/NPPM/AKE-Nivida/2025-26 dt. 28.03.2026,2026_DOLBU_1131598_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,30-Mar-2026 02:00 PM,09-Apr-2026 04:00 PM,30-Mar-2026 02:00 PM,09-Apr-2026 02:00 PM,NA ,NA ,30-Mar-2026 02:00 PM,09-Apr-2026 02:00 PM,01-May-2026 03:00 PM,1.0,FDR - Fixed Deposit,490.0,Executive Officer,Nagar Palika Parishad Muradnagar,No,Civil Works,Ward No-02 Mo. Sahbiswa Kuti Road par Sanjay ke makaan se Yogendra ke makaan tak C.C. sadak wa R.C.C. naali nirmaan kaarya.,Please refer Tender documents. ,NA ,"4,90,123",Civil Works,NA ,Tender,90.0,75.0,NPP Muradnagar,201206.0,NA ,NA ,NA ,NPP Muradnagar,No ,No,Executive Officer,NPP Muradnagar,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fee,AOC
,,,,,,,2.0,6038003.0,M/s Jai Ambika Const Co,09-Apr-2026 11:30 AM,Accepted-AOC,Lowest,02-Jun-2026 11:58 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender doc,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
