Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Fatehpur Sikri Agra,01/2026-27,2026_DOLBU_1134442_20,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,EO,NPP fatehpur sikri,1.0,Fee/PreQual/Technical,.pdf,Technical,16-May-2026 06:00 PM,25-May-2026 02:00 PM,16-May-2026 06:00 PM,25-May-2026 02:00 PM,NA ,NA ,16-May-2026 06:00 PM,25-May-2026 02:00 PM,03-Jun-2026 03:00 PM,"1,500",EO,Fatehpur Sikri,No,Nagar Palika Parishad Fatehpur Sikri Seemantargat 7 nag Water cooler lagane ka karya,Nagar Palika Parishad Fatehpur Sikri Seemantargat 7 nag Water cooler lagane ka karya,Please refer Tender documents. ,NA ,"13,61,403",Civil Works - Water Works,NA ,Tender,60.0,270.0,fatehpur sikri,283110.0,NA ,NA ,NA ,fatehpur sikri,No ,No,"1,36,140",No,percentage,10.0%,EO,Fatehpur Sikri,1.0,RTGS - RTGS Payment,AOC,V P SIngh EO,Internal,Vaibhav srivastav JE KB sharma Accountant,virendra Pratap Singh,04-Jun-2026 11:07 AM,finsummary_2150780.pdf (302.09 KB),Finance,ok,virendra Pratap Singh,04-Jun-2026 11:03 AM,finance_2150780.pdf,BOQ Comparative Chart,1.0,6137896.0,M/s Bhanu Prakash Thekedaar,INR,"1,361,266.86",Directorate of Local Bodies UP||Nagar Palika Parishad Fatehpur Sikri Agra,2026_DOLBU_1134442_20,01/2026-27,Nagar Palika Parishad Fatehpur Sikri Seemantargat 7 nag Water cooler lagane ka karya,1,6138834,GANPATI INFRACON,24-May-2026 02:03 PM,Rejected-Finance,L3,04-Jun-2026 11:07 AM,04-Jun-2026,"INR 1,361,266.86",270.0,virendra Pratap Singh,04-Jun-2026 11:11 AM,cooler.pdf (294.00 KB),L1,Technical,ok,virendra Pratap Singh,03-Jun-2026 02:53 PM,technical_2150780.pdf,V P SIngh EO,Internal,"Vaibhav srivastav je, K B Sharma Accounant",virendra Pratap Singh,03-Jun-2026 02:55 PM,03-Jun-2026 03:00 PM,techsummary_2150780.pdf (302.09 KB),AOC
,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,6138975,MGH CONSTRUCTION,24-May-2026 03:17 PM,Rejected-Finance,L2,04-Jun-2026 11:07 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,6137896,M/s Bhanu Prakash Thekedaar,23-May-2026 05:48 PM,Accepted-AOC,L1,04-Jun-2026 11:11 AM,,,,,,,,,,,,,,,,,,,,AOC
