Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,182-11/E.E. BLY/E-Tender/BLY/2026-27 Dt. 27.05.2026,2026_SCIDC_1154818_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly","18,400",No,fixed,,EE UPSCIDCO,BAREILLY,1.0,RTGS - RTGS Payment,"1,062",EE UPSCIDCO,BAREILLY,No,Construction of C.C. Road and Drain Work at Vill. Kargaina Atalpuram Colony in Rajendra Shakya House to Mukesh bya Ram Vati House (Vidhayak Nidhi),Construction of C.C. Road and Drain Work at Vill. Kargaina Atalpuram Colony in Rajendra Shakya House to Mukesh bya Ram Vati House (Vidhayak Nidhi),Construction of C.C. Road and Drain Work at Vill. Kargaina Atalpuram Colony in Rajendra Shakya House to Mukesh bya Ram Vati House (Vidhayak Nidhi) ,NA ,"9,16,430",Civil Works - Roads,Const. of CC Road and Drain Work at Vill. Kargaina ,Tender,90.0,60.0,Bareilly,243001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,1,Fee/PreQual/Technical,.pdf,"Tender Notice, Fee EMD and BOQ",27-May-2026 06:55 PM,03-Jun-2026 02:00 PM,27-May-2026 06:55 PM,03-Jun-2026 01:00 PM,NA ,NA ,27-May-2026 06:55 PM,03-Jun-2026 01:00 PM,09-Jun-2026 11:00 AM,AOC,Finance,Financial Bid Opening Summary,Charan Singh Arya,10-Jun-2026 02:56 PM,finance_2163307.pdf,BOQ Comparative Chart,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,09-Jun-2026 10:44 AM,09-Jun-2026 11:00 AM,techsummary_2163307.pdf (283.60 KB),Technical,Technical Bid Opening Summary,Charan Singh Arya,08-Jun-2026 05:24 PM,technical_2163307.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,10-Jun-2026 04:26 PM,finsummary_2163307.pdf (763.23 KB),10-Jun-2026,"INR 916,063.43",60.0,Bhaskar Mishra,16-Jun-2026 11:45 AM,LOI11.pdf (811.00 KB),Total Contract Value Rs. 916063.43,1,6163532,Dhriti Enterprizes,03-Jun-2026 03:55 AM,Accepted-AOC,Ist Lowest Rate,16-Jun-2026 11:45 AM,1.0,6163532.0,Dhriti Enterprizes,INR,"916,063.43",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1154818_1,182-11/E.E. BLY/E-Tender/BLY/2026-27 Dt. 27.05.2026,Construction of C.C. Road and Drain Work at Vill. Kargaina Atalpuram Colony in Rajendra Shakya House to Mukesh bya Ram Vati House (Vidhayak Nidhi),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Bid,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6163580,Syed Construction,03-Jun-2026 05:26 AM,Rejected-AOC,IInd Lowest Rate,16-Jun-2026 11:45 AM,,,,,,,,,,AOC
