Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage
20-Jun-2026,"INR 1,423,173.03",90.0,Radha Ballabh,20-Jun-2026 12:20 PM,AOC.pdf (413.00 KB),Pradeep Kumar Gupta Thekedar Is L1,1,6137129,M/s Chansauliya Construction,23-May-2026 11:40 AM,Rejected-AOC,N,20-Jun-2026 12:20 PM,1.0,6137037.0,M/s Pradeep Kumar Gupta Contractor,INR,"1,423,173.03",Directorate of Local Bodies UP||Nagar Panchayat Kotra Jalaun,2026_DOLBU_1149771_2,44/NPKOTRA/CMNSY/2026-27,Nagar Panchayat Kotra Ward No 7 Nareghat Me Antyeshthi Shthal Ke Pas Se Tirahe Tk CC Ka Nirman Karya,Finance,M/s Pradeep Kumar Gupta Contractor Is L1,Radha Ballabh,26-May-2026 11:12 AM,finance_2152820.pdf,BOQ Comparative Chart,Umakant Singh,Internal,RadhaBallabh Chaturvedi Rajkumar,Radha Ballabh,25-May-2026 05:31 PM,25-May-2026 05:35 PM,techsummary_2152820.pdf (254.37 KB),Technical,All Bids Are Admitted,Radha Ballabh,25-May-2026 04:53 PM,technical_2152820.pdf,Umakant Singh,Internal,RadhaBallabh Chaturvedi Rajkumar,Radha Ballabh,26-May-2026 11:32 AM,finsummary_2152820.pdf (254.37 KB),AOC,Nagar Panchayat Kotra Ward No 7 Nareghat Me Antyeshthi Shthal Ke Pas Se Tirahe Tk CC Ka Nirman Karya,Nagar Panchayat Kotra Ward No 7 Nareghat Me Antyeshthi Shthal Ke Pas Se Tirahe Tk CC Ka Nirman Karya,Please refer Tender documents. ,NA ,"14,39,002",Civil Works - Roads,NA ,Tender,90.0,90.0,Nagar Panchayat Kotra-Jalaun,285223.0,NA ,NA ,NA ,Office Nagar Panchayat Kotra-Jalaun,No ,No,"1,700",Executive Officer,Nagar Panchayat Kotra,No,Executive Officer,Nagar Panchayat Kotra-Jalaun,1.0,Fee/PreQual/Technical,.pdf,NIT,Directorate of Local Bodies UP||Nagar Panchayat Kotra Jalaun,44/NPKOTRA/CMNSY/2026-27,2026_DOLBU_1149771_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,"1,43,900",No,fixed,,Executive Officer,Nagar Panchayat Kotra,18-May-2026 10:00 AM,25-May-2026 10:00 AM,18-May-2026 10:00 AM,23-May-2026 04:00 PM,NA ,NA ,18-May-2026 10:00 AM,23-May-2026 04:00 PM,25-May-2026 05:35 PM,1.0,RTGS - RTGS Payment,AOC
,,,,,,,2,6137503,M/s Jitendra Vyas,23-May-2026 02:40 PM,Rejected-AOC,N,20-Jun-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3,6137037,M/s Pradeep Kumar Gupta Contractor,23-May-2026 10:52 AM,Accepted-AOC,Y,20-Jun-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
