Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,2026_REDUP_1135403_7,1533/SE RED Gorakhpur/Gorakhpur/25-26 Dt 11/03/2026,"Under District Gorakhpur, Construction of CC road and drain work in Ward No 68 Maharshi Dadhichi Nagar from Govind Nishad house to Mishri Lal house to Gorakh Sahni house and in various lanes, Lot No 7",1.0,6041189.0,M/S BUDDHI SAGAR SINGH,INR,"28,907,173.32",1,6047485,M/S ARYAN ENTERPRISES,14-Apr-2026 10:20 PM,Rejected-Finance,Rejected,15-Jun-2026 10:03 AM,15-Jun-2026,"INR 28,907,173.32",270.0,Dileep Shukla,15-Jun-2026 10:18 AM,1533_7.pdf (995.00 KB),Er D K Shukla SE RED GORAKHPUR CIRCLE,Internal,,Dileep Shukla,15-Jun-2026 10:03 AM,finsummary_2119846.pdf (994.58 KB),Technical,Summary,Dileep Shukla,16-Apr-2026 02:14 PM,,Er Isham Singh CE RED East,Internal,"Er Isham Singh CE RED East , Er D K Shukla SE RED GORAKHPUR CIRCLE, Er Vivek Priya EE RED Gorakhpur, Er P K Bharti EE RED Maharajganj, Mr Katyayani Prasad DAO RED Gorakhpur",Dileep Shukla,26-Apr-2026 05:33 PM,30-Apr-2026 12:00 PM,techsummary_2119846.pdf (173.88 KB),Finance,Summary,Dileep Shukla,30-Apr-2026 01:59 PM,,BOQ Comparative Chart,AOC,10-Apr-2026 10:00 AM,16-Apr-2026 12:30 PM,10-Apr-2026 10:00 AM,15-Apr-2026 12:00 PM,NA ,NA ,10-Apr-2026 10:00 AM,15-Apr-2026 12:00 PM,30-Apr-2026 12:00 PM,SE RED Gorakhpur Circle,"SE RED Gorakhpur Circle Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur",1.0,SBI Bank,"5,00,440",No,percentage,2.0%,Nil,Nil,1,Fee/PreQual/Technical,.pdf,Fees And Technical Documents,"2,714",Nil,Nil,No,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE,1533/SE RED Gorakhpur/Gorakhpur/25-26 Dt 11/03/2026,2026_REDUP_1135403_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Under District Gorakhpur, Construction of CC road and drain work in Ward No 68 Maharshi Dadhichi Nagar from Govind Nishad house to Mishri Lal house to Gorakh Sahni house and in various lanes, Lot No 7","Under District Gorakhpur, Construction of CC road and drain work in Ward No 68 Maharshi Dadhichi Nagar from Govind Nishad house to Mishri Lal house to Gorakh Sahni house and in various lanes, Lot No 7",Please refer Tender documents. ,NA ,"2,50,22,000",Civil Works,NA ,Tender,90.0,270.0,Gorakhpur,273001.0,SE RED Gorakhpur Circle ,"SE RED Gorakhpur Circle Daudpur, Canal Road, (Durga Mandir Compound), Post-Shivpuri, Gorakhpur  ",13-Apr-2026 11:00 AM ,SE RED Gorakhpur Circle,No ,No,AOC
,,,,,,,,,2,6041189,M/S BUDDHI SAGAR SINGH,13-Apr-2026 03:30 PM,Accepted-AOC,AOC,15-Jun-2026 10:18 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Documents(BoQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
