Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1139782_1,884/AA-4/25-26,Repairing of sulabh toilet at swaroop nagar tilak nagar under ward-61 zone-4.,1.0,6068058.0,NAVYA CONSTRUCTION,INR,"214,635",1,6068058,NAVYA CONSTRUCTION,25-Apr-2026 11:10 AM,Accepted-AOC,AOC issue,18-Jun-2026 07:08 PM,19-May-2026,"INR 214,635",30.0,MEENAKSHI AGARWAL,18-Jun-2026 07:08 PM,Swaroop_nagar_toilet_AOC.pdf (214.00 KB),AOC issue,Finance,Bids submitted,MEENAKSHI AGARWAL,25-Apr-2026 07:30 PM,finance_2128260.pdf,BOQ Comparative Chart,EE 4,Internal,EE 4,MEENAKSHI AGARWAL,27-Apr-2026 07:49 PM,finsummary_2128260.pdf (44.15 KB),EE 4,Internal,EE 4,MEENAKSHI AGARWAL,27-Apr-2026 07:47 PM,techsummary_2128260.pdf (44.15 KB),AOC,21-Apr-2026 03:00 PM,25-Apr-2026 04:00 PM,21-Apr-2026 03:00 PM,25-Apr-2026 03:00 PM,NA ,NA ,21-Apr-2026 03:00 PM,25-Apr-2026 03:00 PM,590.0,Nil,Nil,No,"Chief Engineer, KNN","Chief Engineer office, KNN, Motijheel","25,251",No,percentage,10.0%,Nil,Nil,Repairing of sulabh toilet at swaroop nagar tilak nagar under ward-61 zone-4.,Repairing of sulabh toilet at swaroop nagar tilak nagar under ward-61 zone-4.,Please refer Tender documents. ,NA ,"2,52,512",Civil Works,NA ,Tender,90.0,30.0,Ward-61 Tilak nagar,208801.0,NA ,NA ,NA ,"Executive Engineer Office, Motijheel, Kanpur",No ,No,"Kanpur Municipal Corporation, Kanpur, UP",884/AA-4/25-26,2026_NNKAN_1139782_1,Yes,Open Tender,Piece-work,Works,1.0,No,No,Online,No,No,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan copy of Affidavit of pending works on Rs. 100 stamp,AOC
,,,,,,,,,2,6067494,S.S. CONSTRUCTION,25-Apr-2026 09:34 AM,Rejected-Finance,Not Selected in Lottery,27-Apr-2026 07:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
