Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur||ID, gorakhpur",2026_UPIDC_1145806_3,01/AUCTION/EEID-1/2026-27,Silt auction work from the internal section (bed/dola) of Basantpur Distributary between km 7.000 and km 14.000,1.0,6098802.0,GAYATRI ENTERPRISES,INR,"877,360",1,6098802,GAYATRI ENTERPRISES,08-May-2026 12:58 PM,Accepted-AOC,as per boq,18-Jun-2026 06:04 PM,18-Jun-2026,"INR 877,360",180.0,Bipin Bihari Singh,18-Jun-2026 06:05 PM,aoc_3.pdf (297.00 KB),BIPIN BIHARI SINGH,Internal,,Bipin Bihari Singh,19-May-2026 12:46 PM,19-May-2026 12:50 PM,techsummary_2142240.pdf (317.80 KB),Finance,attached,Bipin Bihari Singh,18-Jun-2026 05:31 PM,finance_2142240.pdf,BOQ Comparative Chart,Bipin Bihari Singh,Internal,,Bipin Bihari Singh,18-Jun-2026 05:48 PM,finsummary_2142240.pdf (317.80 KB),Technical,ATTACHED,Bipin Bihari Singh,19-May-2026 12:40 PM,technical_2142240.pdf,AOC,1,Fee/PreQual/Technical,.pdf,BID,06-May-2026 01:30 PM,11-May-2026 02:00 PM,06-May-2026 01:30 PM,11-May-2026 02:00 PM,NA ,NA ,06-May-2026 01:30 PM,11-May-2026 02:00 PM,19-May-2026 12:50 PM,"69,790",Yes,fixed,,Nil,Nil,1.0,SBI Bank,"U P Irrigation Department (Civil)||Chief Engineer-Gandak, Gorakhpur||Gandak IWC-1, Gorakhpur||ID, gorakhpur",01/AUCTION/EEID-1/2026-27,2026_UPIDC_1145806_3,Yes,Auction,Item Wise,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer IRRIGATION DIVISION GORAKHPUR,Silt auction work from the internal section (bed/dola) of Basantpur Distributary between km 7.000 and km 14.000,Silt auction work from the internal section (bed/dola) of Basantpur Distributary between km 7.000 and km 14.000,Please refer Tender documents. ,NA ,"6,97,900",Civil Works,NA ,Tender,90.0,NA ,KUSHINAGAR,274403.0,NA ,NA ,NA ,IRRIGATION DIVISION GORAKHPUR,No ,No,0.0,Nil,Nil,No,AOC
,,,,,,,,,2,6099675,PHEKU PRASAD THIKEDAR,09-May-2026 11:56 AM,Rejected-AOC,as per boq,18-Jun-2026 06:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
