Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Construction Raising of street with interlocking tiles from Vijay Home to Sareef Home in Mohllah Pathwari in Ward No 4 at Nagar Panchayat Fatehabad Agra,Construction Raising of street with interlocking tiles from Vijay Home to Sareef Home in Mohllah Pathwari in Ward No 4 at Nagar Panchayat Fatehabad Agra,Please refer Tender documents. ,NA ,"4,30,948",Civil Works,NA ,Tender,90.0,30.0,NP FATEHABAD,283111.0,NA ,NA ,NA ,NP FATEHABAD,No ,No,EXECUTIVE OFFICER,NP FATEHABAD,09-Mar-2026 10:00 AM,19-Mar-2026 03:00 PM,09-Mar-2026 10:00 AM,19-Mar-2026 02:00 PM,NA ,NA ,09-Mar-2026 10:00 AM,19-Mar-2026 02:00 PM,07-Apr-2026 02:50 PM,550.0,Executive Officer,NP Fatehabad,No,1.0,Fee/PreQual/Technical,.pdf,nit,Directorate of Local Bodies UP||Nagar Panchayat Fatehabad Agra,342/NPF/2025-26,2026_DOLBU_1122704_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,FDR - Fixed Deposit,"8,700",No,fixed,,Executive Officer,NP Fatehabad,AOC,Finance,Financial Summary,Yogendra Singh,13-Apr-2026 11:13 AM,finance_2090963.pdf,BOQ Comparative Chart,EO,Internal,JE CLERK,swadesh kumar,07-Apr-2026 02:47 PM,07-Apr-2026 02:50 PM,techsummary_2090963.pdf (318.78 KB),Technical,Technical Summary,swadesh kumar,07-Apr-2026 02:44 PM,technical_2090963.pdf,EO,Internal,JE CLERK,Yogendra Singh,13-Apr-2026 01:41 PM,finsummary_2090963.pdf (587.64 KB),30-May-2026,"INR 430,517",30.0,Yogendra Singh,01-Jun-2026 03:01 PM,ward4vijayhomefin.pdf (588.00 KB),AOC,1,5986975,laxmicontruction,18-Mar-2026 10:42 PM,Accepted-AOC,AOC,01-Jun-2026 03:01 PM,1.0,5986975.0,laxmicontruction,INR,"430,517",Directorate of Local Bodies UP||Nagar Panchayat Fatehabad Agra,2026_DOLBU_1122704_1,342/NPF/2025-26,Construction Raising of street with interlocking tiles from Vijay Home to Sareef Home in Mohllah Pathwari in Ward No 4 at Nagar Panchayat Fatehabad Agra,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5985279,M/S R. B. ENTERPRISES,18-Mar-2026 02:36 PM,Rejected-AOC,L3,01-Jun-2026 03:01 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5985034,S.RAJ INFRASEC PLANEERS LLP,18-Mar-2026 01:35 PM,Rejected-AOC,L1,01-Jun-2026 03:01 PM,,,,,,,,,,AOC
