S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,6155291.0,Actech Engineers,30-May-2026 07:38 PM,Accepted-AOC,Lowest rate Accepted,11-Jun-2026 02:28 PM,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,2026_SCIDC_1150802_1,189/SE(E)/Lko-Kanpur/E-T/26-27,Electrification work in Campus of CSJM University at Kanpur.,1.0,6155291.0,Actech Engineers,INR,"10,608,690",10-Jun-2026,"INR 10,608,690",270.0,Ram Nayan,11-Jun-2026 02:28 PM,karyadeshActech.pdf (1356.00 KB),Attached,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,03-Jun-2026 06:50 PM,03-Jun-2026 06:55 PM,techsummary_2155190.pdf (69.64 KB),Finance,Attached,Ram Nayan,09-Jun-2026 03:59 PM,finance_2155190.pdf,BOQ Comparative Chart,Shri Sudhir Kumar,Internal,Attached,Ram Nayan,09-Jun-2026 04:08 PM,finsummary_2155190.pdf (69.64 KB),Technical,Attached,Ram Nayan,03-Jun-2026 06:48 PM,technical_2155190.pdf,AOC,Electrification work in Campus of CSJM University at Kanpur.,Electrification work in Campus of CSJM University at Kanpur.,Electrification work in Campus of CSJM University at Kanpur. ,NA ,,Electrical Works,NA ,Tender,90.0,270.0,Kanpur,208017.0,NA ,NA ,NA ,"Lekhraj Market-1st, IIIrd floor Indira Nagar LKO",No ,No,Superintending Engineer (E),"UPSCIDCO LTD Lekhraj Market-1st, IIIrd floor Indira Nagar LKO","2,13,000",No,fixed,,UPSCIDCOLTD,Kanpur,U.P. State Construction and Infrastructure Development Corporation Ltd.||Electrical Division Allahabad,189/SE(E)/Lko-Kanpur/E-T/26-27,2026_SCIDC_1150802_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Tender fee, EMD and Document","3,540",UPSCIDCOLTD,Kanpur,No,20-May-2026 10:00 AM,01-Jun-2026 02:00 PM,20-May-2026 10:00 AM,01-Jun-2026 12:00 PM,NA ,NA ,20-May-2026 10:00 AM,01-Jun-2026 12:00 PM,03-Jun-2026 06:55 PM,1,DD - Demand Draft,1.0,Financial and Date,Date,,AOC
2.0,6157066.0,SANJAY ELECTRIC COMPANY,31-May-2026 07:36 PM,Rejected-Finance,Quoted Amount Rate in high,09-Jun-2026 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,2,FDR - Fixed Deposit,2.0,Financial,Financial Bid,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,,,,,AOC
