Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,54/25/NPPKHT/2026-27 DATE-17/04/2026,2026_DOLBU_1137537_1,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Offline,No,No,No,17-Apr-2026 02:00 PM,08-May-2026 02:00 PM,17-Apr-2026 02:00 PM,08-May-2026 12:00 PM,NA ,NA ,17-Apr-2026 02:00 PM,08-May-2026 12:00 PM,14-May-2026 02:00 PM,485.0,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,1.0,FDR - Fixed Deposit,"20,532",No,percentage,10.0%,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,WARD NO-13 MOHALLA JAIN NAGAR ME ILA MEDICAL STORE SE PRBHAKAR SCHOOL HOTE HUYE OMPAL KE MAKAN SE T POINT TAK 4 INCH PVC PAYJAL PIPE LINE KA KARY,WARD NO-13 MOHALLA JAIN NAGAR ME ILA MEDICAL STORE SE PRBHAKAR SCHOOL HOTE HUYE OMPAL KE MAKAN SE T POINT TAK 4 INCH PVC PAYJAL PIPE LINE KA KARY,Please refer Tender documents. ,NA ,"2,05,315",Water Supply,PIPE LINE ,Tender,90.0,60.0,WORK,251201.0,NA ,NA ,NA ,EXICUTIVE OFFICER NAGAR PALIKA PARISHAD KHATAULI,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,AOC,CHAIRMAN AND EXICUTIVE OFFICER,Internal,CHAIRMAN AND EXICUTIVE OFFICER JE,Rajeev Kumar,14-May-2026 01:05 PM,14-May-2026 02:00 PM,techsummary_2124181.pdf (1999.64 KB),Finance,FINANCE,Rajeev Kumar,18-May-2026 11:36 AM,finance_2124181.pdf,BOQ Comparative Chart,CHAIRMAN EO JE,Internal,,Rajeev Kumar,19-May-2026 01:02 PM,finsummary_2124181.pdf (1882.19 KB),Technical,TECHNICAL,Vipin Kumar,12-May-2026 06:33 PM,technical_2124181.pdf,1,6096367,AS ENGINEERING WORKS,07-May-2026 03:27 PM,Accepted-AOC,BELOW,06-Jun-2026 04:41 PM,1.0,6096367.0,AS ENGINEERING WORKS,INR,"204,924",Directorate of Local Bodies UP||Nagar Palika Parishad Khatauli Muzaffarnagar,2026_DOLBU_1137537_1,54/25/NPPKHT/2026-27 DATE-17/04/2026,WARD NO-13 MOHALLA JAIN NAGAR ME ILA MEDICAL STORE SE PRBHAKAR SCHOOL HOTE HUYE OMPAL KE MAKAN SE T POINT TAK 4 INCH PVC PAYJAL PIPE LINE KA KARY,23-May-2026,"INR 204,924",60.0,Rajeev Kumar,06-Jun-2026 04:41 PM,work25.pdf (351.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,6096461,GUPTA ENGINEERING WORKS,07-May-2026 03:58 PM,Rejected-AOC,ABOVE,06-Jun-2026 04:41 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,6096585,M/S CHAUHAN CONTRACTOR,07-May-2026 04:36 PM,Rejected-AOC,ABOVE,06-Jun-2026 04:41 PM,,,,,,,,,,,,,,,,AOC
