Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_53,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,13-Apr-2026 05:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 05:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 05:00 PM,30-Apr-2026 03:00 PM,21-May-2026 03:00 PM,CE,Ghaziabad Nagar Nigam,1.0,SBI Bank,"1,69,950",No,percentage,3.0%,Nil,Nil,"4,011",Nil,Nil,No,Improvement work of internal street in Ward 01 Bagukishyan Nagar in Vijaynagar.,Improvement work of internal street in Ward 01 Bagukishyan Nagar in Vijaynagar.,Please refer Tender documents. ,NA ,"56,65,000",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,AOC,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_53,116/Nirman/2026-27 Date 04.04.2026,Improvement work of internal street in Ward 01 Bagukishyan Nagar in Vijaynagar.,1,6072222,M/S NORTH INDIA DEVELOPERS,29-Apr-2026 06:39 PM,Accepted-AOC,L1,06-Jun-2026 05:43 PM,Finance,Finance,narendra kumar chaudhary,21-May-2026 03:42 PM,,BOQ Comparative Chart,ce,Internal,,Kuldeep Kumar Tamar,06-Jun-2026 05:40 PM,finsummary_2122165.pdf (407.39 KB),1.0,6072222.0,M/S NORTH INDIA DEVELOPERS,INR,"4,815,250",CE,Internal,,Kuldeep Kumar Tamar,19-May-2026 12:53 PM,21-May-2026 03:00 PM,techsummary_2122165.pdf (764.08 KB),Technical,Technical,Kuldeep Kumar Tamar,02-May-2026 12:20 PM,,06-Jun-2026,"INR 4,815,250",60.0,Kuldeep Kumar Tamar,06-Jun-2026 05:43 PM,53116.pdf (407.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,2,6056125,PRAMOD KUMAR SINGHAL,18-Apr-2026 06:44 PM,Rejected-Finance,L2,06-Jun-2026 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,6069569,Raghuvanshi buildtech,30-Apr-2026 10:04 AM,Rejected-Finance,L2,06-Jun-2026 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,6080139,R B S CONSTRUCTION COMPANY,30-Apr-2026 12:50 PM,Rejected-Finance,L2,06-Jun-2026 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
