Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
20-Jun-2026,"INR 1,148,411",30.0,Anil Kumar,20-Jun-2026 01:31 PM,workorder.pdf (385.00 KB),m/s faizan mujtaba is l1 bidder,1.0,6084998.0,FAIZAN MUSTAFA CONTRACTOR,INR,"1,148,411",Directorate of Local Bodies UP||Nagar Panchayat Naugawansadat Amroha,2026_DOLBU_1136799_1,09/N.P.N.S/E-TENDER/2026-27,ward no 1 public toilet work near sam inter college,1,6082645,BUILDWISE TRADERS,02-May-2026 04:14 AM,Rejected-Finance,FAIZAN MUSTAFA CONTRACTOR is l1 bdder,20-Jun-2026 01:26 PM,Technical,all technical qualfied bid admitted,Anil Kumar,04-May-2026 04:46 PM,technical_2122769.pdf,eo salil bhardwaj,Internal,eo salil bhardwaj clerk anil kumar je tapesh kumar,Anil Kumar,20-Jun-2026 01:26 PM,finsummary_2122769.pdf (207.75 KB),Finance,all financial qualified bid admitted,Anil Kumar,20-Jun-2026 01:18 PM,finance_2122769.pdf,BOQ Comparative Chart,eo salil bhardwaj,Internal,eo salil bhardwaj clerk anil kumar je tapesh kumar,Anil Kumar,04-May-2026 04:49 PM,04-May-2026 04:50 PM,techsummary_2122769.pdf (224.24 KB),AOC,ward no 1 public toilet work near sam inter college,ward no 1 public toilet work near sam inter college,Please refer Tender documents. ,NA ,"11,50,000",Civil Works,NA ,Tender,90.0,30.0,np naugawan sadat,244251.0,NA ,NA ,NA ,np naugawan sadat,No ,No,1.0,Fee/PreQual/Technical,.pdf,fee,1.0,opening date change,Date,,"1,416",eo,np naugawan sadat,No,1.0,RTGS - RTGS Payment,"30,000",No,fixed,,eo,np naugawan sadat,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,NA ,NA ,15-Apr-2026 12:00 PM,04-May-2026 02:00 PM,04-May-2026 04:50 PM,eo naugawan sadat,np naugawan sadat,Directorate of Local Bodies UP||Nagar Panchayat Naugawansadat Amroha,09/N.P.N.S/E-TENDER/2026-27,2026_DOLBU_1136799_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,2,6084998,FAIZAN MUSTAFA CONTRACTOR,03-May-2026 03:45 PM,Accepted-AOC,m/s faizan musrufa contractor is l1 bidder,20-Jun-2026 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,document,2.0,emd update,Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6086143,LALIT CONSTRUCTION ENGINEERS,03-May-2026 11:29 PM,Not Admitted-Finance,Not qualified for AOC,20-Jun-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6086515,sarla devi,04-May-2026 09:56 AM,Not Admitted-Finance,Not qualified for AOC,20-Jun-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6086410,Sher Momahmad,04-May-2026 08:58 AM,Not Admitted-Finance,Not qualified for AOC,20-Jun-2026 01:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,6082378,VoH Group,01-May-2026 09:15 PM,Rejected-Finance,FAIZAN MUSTAFA CONTRACTOR is l1 bdder,20-Jun-2026 01:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
