Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE FATEHPUR,13/RED/E-Tender/2026-27 Date 02-04-2026,2026_REDUP_1137177_70,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,854.0,Nil,Nil,No,VIKAS BHAWAN FATEHPUR,VIKAS BHAWAN FATEHPUR,1.0,SBI Bank,02-May-2026 09:00 AM,09-May-2026 11:00 AM,02-May-2026 09:00 AM,08-May-2026 06:00 PM,NA ,NA ,02-May-2026 09:00 AM,08-May-2026 06:00 PM,18-May-2026 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,NIT,"66,000",No,fixed,,Nil,Nil,Block Malwan Ke Gram Benikhera Majre Bhaupur Se Hanuman mandir Kuti Tak Intelocking Road Nirman,Block Malwan Ke Gram Benikhera Majre Bhaupur Se Hanuman mandir Kuti Tak Intelocking Road Nirman,PREFIRED NIT ,NA ,"32,72,000",Civil Works,NA ,Tender,90.0,90.0,FATEHPUR,212601.0,VIKAS BHAWAN FATEHPUR ,VIKAS BHAWAN FATEHPUR ,05-May-2026 09:00 AM ,VIKAS BHAWAN FATEHPUR,No ,No,AOC,"DAO, AE, EE",Internal,,VIKAS KUREEL,22-May-2026 04:37 PM,finsummary_2124360.pdf (288.45 KB),Finance,Summary,VIKAS KUREEL,20-May-2026 05:58 PM,,BOQ Comparative Chart,1.0,6094325.0,M/S MSG INFRABUILD PVT LTD,INR,"3,232,930",Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE ALLAHABAD CIRCLE||EE FATEHPUR,2026_REDUP_1137177_70,13/RED/E-Tender/2026-27 Date 02-04-2026,Block Malwan Ke Gram Benikhera Majre Bhaupur Se Hanuman mandir Kuti Tak Intelocking Road Nirman,1.0,6094325.0,M/S MSG INFRABUILD PVT LTD,08-May-2026 02:36 AM,Accepted-AOC,AWARDED,27-Jun-2026 03:24 PM,26-May-2026,"INR 3,232,930",90.0,VIKAS KUREEL,27-Jun-2026 03:23 PM,Benikhera.pdf (408.00 KB),Technical,Summary,VIKAS KUREEL,12-May-2026 02:10 PM,,"DAO, AE, EE",Internal,,VIKAS KUREEL,16-May-2026 04:37 PM,18-May-2026 11:00 AM,techsummary_2124360.pdf (274.59 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,6094340.0,M/S UTTAM TRADERS,08-May-2026 02:42 AM,Rejected-Finance,REJECT,22-May-2026 04:37 PM,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
