Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
12-Jun-2026,"INR 64,030,197",365.0,Karmendra Kumar Agrawal,16-Jun-2026 07:43 PM,DOSMahila.pdf (546.00 KB),"Rs. 7,55,55,632.00 with GST",1.0,6061917.0,M/s. Jai Buildes,INR,"64,030,197",U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida,2026_UPPRC_1134471_1,01/PCL/GM/Zone-6/Noida/2026-27 Dt 07.04.2026,Balance Construction work of Rajkiya Mahila Sharnalaya at District Ghaziabad,1,6059646,AJAY SHARMA,21-Apr-2026 11:16 AM,Rejected-AOC,Fourt Lowest,16-Jun-2026 07:43 PM,Finance,Technically Qualified bidders bids opened. Out of them M/s M/s. Jai Builders Bid is First Lowest of amount Rupees 64030197.313,Karmendra Kumar Agrawal,11-Jun-2026 12:09 PM,finance_2117905.pdf,BOQ Comparative Chart,General Manager Zone-6 Noida,Internal,"General Manager Zone-4 Agra Project Manager, Unit-36 Noida Accountant Unit 36 Noida",Karmendra Kumar Agrawal,11-May-2026 06:34 PM,12-May-2026 03:00 PM,techsummary_2117905.pdf (431.49 KB),Technical,Five Bids are received. All are found Technically qualified,Karmendra Kumar Agrawal,11-May-2026 06:31 PM,technical_2117905.pdf,General Manager Zone-6 Noida,Internal,"General Manager Zone-4 Agra Project Manager, Unit-36 Noida Accountant Unit 36 Noida",Karmendra Kumar Agrawal,11-Jun-2026 12:14 PM,finsummary_2117905.pdf (431.49 KB),AOC,Balance Construction work of Rajkiya Mahila Sharnalaya at District Ghaziabad,Balance Construction work of Rajkiya Mahila Sharnalaya at District Ghaziabad,Please refer Tender documents. ,NA ,"7,72,95,000",Civil Works,NA ,Tender,90.0,365.0,Mahila Sharnalaya at District Ghaziabad,201002.0,NA ,NA ,NA ,"K-2, Sector-116, Noida Gautambudha Nagar",No ,No,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-6 Noida,01/PCL/GM/Zone-6/Noida/2026-27 Dt 07.04.2026,2026_UPPRC_1134471_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"General Manager, UPPCL, Zone-6 Noida","K-2, Sector-116, Noida Gautambudha Nagar",1.0,SBI Bank,"17,700",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,08-Apr-2026 12:35 PM,22-Apr-2026 03:00 PM,08-Apr-2026 12:35 PM,22-Apr-2026 02:00 PM,NA ,NA ,08-Apr-2026 12:35 PM,22-Apr-2026 02:00 PM,12-May-2026 03:00 PM,"15,46,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,6061268,Core Wood Infratech,21-Apr-2026 05:25 PM,Rejected-AOC,Fifth Lowest,16-Jun-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,6061758,Garg Re Surfacing and Construction,22-Apr-2026 11:21 AM,Rejected-AOC,Second Lowest,16-Jun-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,6061917,M/s. Jai Buildes,22-Apr-2026 11:17 AM,Accepted-AOC,First Lowest,16-Jun-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,6060633,M/S RAJPAL SINGH CONTRACTOR,21-Apr-2026 09:31 AM,Rejected-AOC,Third Lowest,16-Jun-2026 07:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
