S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
1.0,6159711.0,ARTIST BRO,INR,"695,390","U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",2026_UPIDC_1154777_2,02/EE/2026-27,Drain clearence work,1,6159711,ARTIST BRO,01-Jun-2026 11:08 PM,Accepted-AOC,ACCEPT,18-Jun-2026 05:31 PM,12-Jun-2026,"INR 695,390",15.0,NEERAJ TYAGI,18-Jun-2026 05:31 PM,AG10.pdf (755.00 KB),DATE OF START 12.06.2026,NEERAJ KUMAR TYAGI,Internal,NEERAJ KUMAR TYAGI UMESH KUMAR,NEERAJ TYAGI,04-Jun-2026 04:30 PM,finsummary_2163095.pdf (195.46 KB),Technical,technical report,NEERAJ TYAGI,03-Jun-2026 05:44 PM,technical_2163095.pdf,NEERAJ KUMAR TYAGI,Internal,NEERAJ KUMAR TYAGI UMESH KUMAR,NEERAJ TYAGI,03-Jun-2026 05:51 PM,04-Jun-2026 04:00 PM,techsummary_2163095.pdf (506.12 KB),Finance,FINANCIAL REPORT,NEERAJ TYAGI,04-Jun-2026 04:18 PM,finance_2163095.pdf,BOQ Comparative Chart,AOC,Drain clearence work,Drain clearence work,Please refer Tender documents. ,NA ,"16,00,000",Civil Works,NA ,Tender,90.0,15.0,UMBDGC KHURJA,203131.0,NA ,NA ,NA ,UMBDGC KHURJA,No ,No,Executive Engineer,UMBDGC KHURJA,"U P Irrigation Department (Civil)||Chief Engineer-Ganga, Meerut||Irrigation Works Circle, Mathura||UMBGC, khurja",02/EE/2026-27,2026_UPIDC_1154777_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,28-May-2026 09:00 AM,02-Jun-2026 03:00 PM,28-May-2026 09:00 AM,02-Jun-2026 12:00 PM,NA ,NA ,28-May-2026 09:00 AM,02-Jun-2026 12:00 PM,04-Jun-2026 04:00 PM,"32,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,TENDER DOCUMENT,854.0,Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,2,6151263,M/S RINKU CONTRACTOR,02-Jun-2026 06:26 AM,Rejected-Finance,2,04-Jun-2026 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
,,,,,,,,,3,6158111,M/s Virendra Singh Contractor,01-Jun-2026 07:30 PM,Rejected-Finance,5,04-Jun-2026 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,6158445,Phoughat Construction,02-Jun-2026 10:50 AM,Rejected-Finance,3,04-Jun-2026 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,6160662,PRAGATI ASSOCIATES,01-Jun-2026 11:27 PM,Rejected-Finance,4,04-Jun-2026 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
