S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
1.0,SBI Bank,"1,00,000",No,fixed,,Nil,Nil,22-May-2026 01:00 PM,27-May-2026 01:00 PM,22-May-2026 01:00 PM,27-May-2026 01:00 PM,NA ,NA ,22-May-2026 01:00 PM,27-May-2026 01:00 PM,01-Jun-2026 01:30 PM,Janpad jaunpur me City margo par paitch marmmat karya,Janpad jaunpur me City margo par paitch marmmat karya,Please refer Tender documents. ,NA ,"10,00,000",Civil Works,NA ,Tender,90.0,180.0,jaunpur,222002.0,NA ,NA ,NA ,jaunpur,No ,No,944.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,Tech,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Provincial Division, PWD Jaunpur",1740/8A date 20-04-2026,2026_CEUVZ_1148750_4,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,ee pd jaunpur,ee pd jaunpur,AOC,rk,Internal,,Rajendra Kumar Verma,01-Jun-2026 01:20 PM,01-Jun-2026 01:30 PM,techsummary_2150483.pdf (91.98 KB),Finance,boq summary,Rajendra Kumar Verma,03-Jun-2026 01:26 PM,finance_2150483.pdf,BOQ Comparative Chart,RK,Internal,,Rajendra Kumar Verma,03-Jun-2026 01:28 PM,finsummary_2150483.pdf (91.98 KB),Technical,rk,Rajendra Kumar Verma,01-Jun-2026 01:18 PM,technical_2150483.pdf,"Chief Engineer PWD Varanasi Zone||S.E. Jaunpur - Ghazipur Circle PWD Jaunpur||Provincial Division, PWD Jaunpur",2026_CEUVZ_1148750_4,1740/8A date 20-04-2026,Janpad jaunpur me City margo par paitch marmmat karya,1.0,6145034.0,M/S PUJA CONSTRUCTION,INR,"640,536",1,6145041,M/S JAY SHRI KRISHNA & SONS,27-May-2026 10:15 AM,Rejected-Finance,l,03-Jun-2026 01:28 PM,19-Jun-2026,"INR 640,536",180.0,Rajendra Kumar Verma,19-Jun-2026 03:25 PM,paitch.pdf (180.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6145034,M/S PUJA CONSTRUCTION,27-May-2026 10:24 AM,Accepted-AOC,L1,19-Jun-2026 03:25 PM,,,,,,,AOC
