Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BAGHPAT,2026_REDUP_1135056_4,1871/red/tndr/25-26dt11-03-26,Gram sankalputthi mai jal nikashi hetu talab say nahar tak pipe line nirman karya.,1.0,6047335.0,SHRI GOPI CHAND GOSWAMI CONSTRUCTION,INR,"1,189,816.05",1.0,6051282.0,SHIVAM ENTERPRISES,16-Apr-2026 11:16 AM,Rejected-Finance,l2,05-Jun-2026 10:36 AM,05-Jun-2026,"INR 1,189,816.05",90.0,Ashok Kumar,05-Jun-2026 10:38 AM,sankalpumaijalbond.pdf (168.00 KB),ee,ee,Internal,ee,Ashok Kumar,24-Apr-2026 12:53 PM,27-Apr-2026 12:00 PM,techsummary_2119345.pdf (359.40 KB),Finance,ee,Ashok Kumar,27-Apr-2026 12:10 PM,,BOQ Comparative Chart,ee,Internal,ee,Ashok Kumar,05-Jun-2026 10:36 AM,finsummary_2119345.pdf (223.50 KB),Technical,ee,Ashok Kumar,24-Apr-2026 12:48 PM,,AOC,1.0,SBI Bank,Gram sankalputthi mai jal nikashi hetu talab say nahar tak pipe line nirman karya.,Gram sankalputthi mai jal nikashi hetu talab say nahar tak pipe line nirman karya.,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,90.0,EE RED BAGHPAT,250609.0,NA ,NA ,NA ,EE RED BAGHPAT,No ,No,10-Apr-2026 10:00 AM,16-Apr-2026 03:00 PM,10-Apr-2026 10:00 AM,16-Apr-2026 12:30 PM,NA ,NA ,10-Apr-2026 10:00 AM,16-Apr-2026 12:30 PM,27-Apr-2026 12:00 PM,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BAGHPAT,1871/red/tndr/25-26dt11-03-26,2026_REDUP_1135056_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,766.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,EMD,"EE,AE,DAO","EE,AE,DAO","26,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2.0,6047335.0,SHRI GOPI CHAND GOSWAMI CONSTRUCTION,15-Apr-2026 08:27 PM,Accepted-AOC,l1,05-Jun-2026 10:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC
