Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Greater Noida Industrial Development Authority,SM/(E-TENDER CELL)/2026/708 DATED-28.01.2026,2026_GNIDA_1111235_7,Yes,Open Tender,Fixed-rate,Works,2.0,No,No,Online,No,No,No,"9,53,000",No,fixed,,Nil,Nil,"Construction of 24m wide road, RCC drain and P/L Sewer line in Sector Recreational Green-V, Greater Noida.","Construction of 24m wide road, RCC drain and P/L Sewer line in Sector Recreational Green-V, Greater Noida.",REFER TENDER DOCUMENT ,NA ,"4,76,19,043",Civil Works,DEVELOPMENT WORK ,Tender,90.0,365.0,GREATER NOIDA,201310.0,NA ,NA ,NA ,GREATER NOIDA INDUSTRIAL DEVELOPMENT AUTHORITY,No ,No,1.0,Fee/PreQual/Technical,.pdf,"TENDER FEE, EMD, Rs.100/- NON JUDICIAL STAMP PAPER ALONGWITH Re.1/- REVENUE STAMP",SM_TENDER CELL,GNIDA OFFICE,"6,540",Nil,Nil,No,03-Feb-2026 05:00 PM,19-Feb-2026 11:00 AM,03-Feb-2026 05:00 PM,17-Feb-2026 05:00 PM,NA ,NA ,03-Feb-2026 05:00 PM,17-Feb-2026 05:00 PM,23-Mar-2026 05:30 PM,1.0,SBI Bank,AOC,ACEO_SK,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,SUNNY YADAV,13-May-2026 04:05 PM,finsummary_2052699.pdf (190.68 KB),Technical,UNDER EVALUATION,SUNNY YADAV,19-Feb-2026 01:17 PM,,ACEO_SK,Internal,GM_FINANCE GM_PROJECT SM_TECHNICAL,SUNNY YADAV,23-Mar-2026 03:53 PM,23-Mar-2026 05:30 PM,techsummary_2052699.pdf (197.13 KB),Finance,UNDER EVALUATION,SUNNY YADAV,23-Mar-2026 05:53 PM,,BOQ Comparative Chart,1.0,5877835.0,A K GUPTA CONSTRUCTION CO,INR,"46,861,900.98",Greater Noida Industrial Development Authority,2026_GNIDA_1111235_7,SM/(E-TENDER CELL)/2026/708 DATED-28.01.2026,"Construction of 24m wide road, RCC drain and P/L Sewer line in Sector Recreational Green-V, Greater Noida.",1.0,5877835.0,A K GUPTA CONSTRUCTION CO,17-Feb-2026 02:44 PM,Accepted-AOC,L1,23-Jun-2026 04:41 PM,23-Jun-2026,"INR 46,861,900.98",365.0,SUNNY YADAV,23-Jun-2026 04:41 PM,16884.pdf (493.00 KB),AWARD LETTER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,APPENDIX A TO E,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5885164.0,M/S ARY INFRATECH,17-Feb-2026 11:53 AM,Rejected-Finance,L2,13-May-2026 04:05 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FINANCIAL STATEMENT,TURNOVER,GST,PAN,AADHAR,PROP./PRTN./LTD.CO.CERTIFICATE,AUTHORITY LETTER,ETC",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5886103.0,SPG INFRAPROJECTS PVT LTD,17-Feb-2026 03:53 PM,Rejected-Finance,L3,13-May-2026 04:05 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER REQUISITES AS PER TENDER DOCUMENT,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
