Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Mallawan Hardoi,63/nppmallawan/2026-27,2026_DOLBU_1154424_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,tender notice,executive officer,npp mallawan hardoi,"3,540",rtgs,npp mallawan,No,27-May-2026 09:00 AM,17-Jun-2026 01:00 PM,27-May-2026 09:00 AM,16-Jun-2026 05:00 PM,NA ,NA ,27-May-2026 09:00 AM,16-Jun-2026 05:00 PM,18-Jun-2026 02:00 PM,1.0,RTGS - RTGS Payment,ward 02 me babain gosai ke makan se yameen ke makan tak damarikaran sadak wa nali ka nirmand karya,ward 02 me babain gosai ke makan se yameen ke makan tak damarikaran sadak wa nali ka nirmand karya,Please refer Tender documents. ,NA ,"35,39,940",Civil Works,NA ,Rate Contract,90.0,90.0,mallawan,241303.0,NA ,NA ,NA ,adm office hardoi,No ,No,"1,49,997",Yes,fixed,,rtgs,npp mallawan,AOC,Technical,samiti,Rajesh Singh Rana,17-Jun-2026 03:54 PM,technical_2162489.pdf,2998449.03,Internal,,Rajesh Singh Rana,22-Jun-2026 10:30 AM,finsummary_2162489.pdf (181.28 KB),Finance,samiti,Rajesh Singh Rana,18-Jun-2026 04:00 PM,finance_2162489.pdf,BOQ Comparative Chart,samiti,Internal,,Rajesh Singh Rana,18-Jun-2026 01:33 PM,18-Jun-2026 02:00 PM,techsummary_2162489.pdf (643.42 KB),22-Jun-2026,"INR 2,998,449.03",90.0,Rajesh Singh Rana,22-Jun-2026 10:33 AM,na.pdf (181.00 KB),1.0,6198513.0,M/S ANSHI CONTRACTOR & SUPPLIER,INR,"2,998,449.03",Directorate of Local Bodies UP||Nagar Palika Parishad Mallawan Hardoi,2026_DOLBU_1154424_1,63/nppmallawan/2026-27,ward 02 me babain gosai ke makan se yameen ke makan tak damarikaran sadak wa nali ka nirmand karya,1,6198408,MADHUR KUMAR MISHRA,16-Jun-2026 06:26 AM,Rejected-Finance,l3,22-Jun-2026 10:30 AM,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6198428,MOHD ANVAR THEKADAR,16-Jun-2026 07:04 AM,Rejected-Finance,l2,22-Jun-2026 10:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6198513,M/S ANSHI CONTRACTOR & SUPPLIER,16-Jun-2026 08:11 AM,Accepted-AOC,l1,22-Jun-2026 10:33 AM,AOC
