Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,94/ST/date 17.03.2026,2026_REDUP_1135410_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,E.E. R.E.D. GHAZIPUR,OFFICE E.E. R.E.D. GHAZIPUR,1,Fee/PreQual/Technical,.pdf,fee and document,"2,860",Nil,Nil,No,1.0,SBI Bank,10-Apr-2026 11:00 AM,18-Apr-2026 12:30 PM,10-Apr-2026 11:00 AM,18-Apr-2026 12:00 PM,NA ,NA ,10-Apr-2026 11:00 AM,18-Apr-2026 12:00 PM,28-Apr-2026 01:00 PM,VIKASH KHAND SADAR KE MAHILA HOSPITAL KE MUKHYA DWAR SE ANDAR TAK C.C. KARY,VIKASH KHAND SADAR KE MAHILA HOSPITAL KE MUKHYA DWAR SE ANDAR TAK C.C. KARY,Please refer Tender documents. ,NA ,"9,44,000",Civil Works,NA ,Tender,90.0,90.0,GHAZIPUR,226007.0,NA ,NA ,NA ,OFFICE E.E. R.E.D. GHAZIPUR,No ,No,"18,880",No,percentage,2.0%,Nil,Nil,AOC,EE,Internal,AE DAO,Puneet Kumar,25-Apr-2026 07:03 PM,28-Apr-2026 01:00 PM,techsummary_2119881.pdf (89.46 KB),Finance,open,Puneet Kumar,29-Apr-2026 04:14 PM,finance_2119881.pdf,BOQ Comparative Chart,EE,Internal,AE DAO,Puneet Kumar,16-Jun-2026 06:17 PM,finsummary_2119881.pdf (379.92 KB),Technical,open,Puneet Kumar,18-Apr-2026 03:55 PM,technical_2119881.pdf,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE GHAZIPUR,2026_REDUP_1135410_2,94/ST/date 17.03.2026,VIKASH KHAND SADAR KE MAHILA HOSPITAL KE MUKHYA DWAR SE ANDAR TAK C.C. KARY,1.0,6055196.0,M/S RUDRA ENTERPRISES,INR,"1,111,236",1,6055196,M/S RUDRA ENTERPRISES,18-Apr-2026 09:29 AM,Accepted-AOC,L1,16-Jun-2026 06:19 PM,16-Jun-2026,"INR 1,111,236",90.0,Puneet Kumar,16-Jun-2026 06:19 PM,vv.pdf (172.00 KB),L1,AOC
,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6055204,SHRI KRISHNA CONSTRUCTION COMPANY,18-Apr-2026 10:12 AM,Rejected-Finance,L2,16-Jun-2026 06:17 PM,,,,,,,,AOC
