S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,SBI Bank,Laying of interlocking tiles in front of Bones and Baby clinic under JK Bridge in ward-58 under zone 2,Laying of interlocking tiles in front of Bones and Baby clinic under JK Bridge in ward-58 under zone 2,Please refer Tender documents. ,NA ,"9,96,730",Civil Works,NA ,Tender,90.0,45.0,zone 2,208011.0,NA ,NA ,NA ,"OFFICE OF THE CHIEF ENGINEER, KMC",No ,No,24-Mar-2026 01:00 PM,28-Mar-2026 04:00 PM,24-Mar-2026 01:00 PM,28-Mar-2026 03:00 PM,NA ,NA ,24-Mar-2026 01:00 PM,28-Mar-2026 03:00 PM,"1,180",Nil,Nil,No,"99,673",No,percentage,10.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"CHIEF ENGINEER, KMC",MOTIJHEEL,"Kanpur Municipal Corporation, Kanpur, UP",1464/AA-2/25-26,2026_NNKAN_1129632_1,Yes,Open Tender,Fixed-rate,Works,1.0,No,No,Online,No,No,No,AOC,CE,Internal,,DIVAKAR BHASKAR,30-Mar-2026 07:21 PM,finsummary_2107166.pdf (194.18 KB),CE,Internal,,DIVAKAR BHASKAR,30-Mar-2026 07:15 PM,techsummary_2107166.pdf (194.18 KB),15-May-2026,"INR 842,997",45.0,DIVAKAR BHASKAR,30-Jun-2026 07:48 PM,1129632babaanandeshwarsupplier.pdf (525.00 KB),AOC,"Kanpur Municipal Corporation, Kanpur, UP",2026_NNKAN_1129632_1,1464/AA-2/25-26,Laying of interlocking tiles in front of Bones and Baby clinic under JK Bridge in ward-58 under zone 2,1.0,6015417.0,M/S BABA ANANDESWAR SUPPLIERS,INR,"842,997",1,6015417,M/S BABA ANANDESWAR SUPPLIERS,28-Mar-2026 09:49 AM,Accepted-AOC,AOC,30-Jun-2026 07:48 PM,Finance,M/S BABA ANANDESWAR SUPPLIERS,DIVAKAR BHASKAR,30-Mar-2026 07:12 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificateofnon-pending5workasperthecontractonstamppaperofRs.100as perSerialNo.14oftenderconditions,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6015450,M/s Jyotsana Enterprises,28-Mar-2026 10:02 AM,Rejected-Finance,L2,30-Mar-2026 07:21 PM,,,,,,,AOC
