Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Directorate of Local Bodies UP||Gorakhpur Municipal Corporation,2026_DOLBU_1132434_1,TAY Sr 102 Ward 65,"Construction work of CC road and RCC drain from Kamlesh house in Ward 65 Krishnamohan Pandey Nagar to Rajendra Prasad house via Rekha Devi, Trish Arts and Om Radhika House",1.0,6059499.0,M/S SANTOSH KUMAR SINGH,INR,"6,419,139",1,6059498,M/S ADITYA CONSTRUCTION COMPANY,20-Apr-2026 03:50 PM,Rejected-Finance,L3,21-Jun-2026 03:42 PM,21-Jun-2026,"INR 6,419,139",120.0,Ashok kumar,21-Jun-2026 03:44 PM,1132434.pdf (2806.00 KB),AMC,Internal,,AMAR NATH,12-Jun-2026 03:07 PM,12-Jun-2026 03:10 PM,techsummary_2113540.pdf (386.81 KB),Finance,A,Ashok kumar,12-Jun-2026 04:52 PM,,BOQ Comparative Chart,AMC,Internal,,Ashok kumar,21-Jun-2026 03:42 PM,finsummary_2113540.pdf (2806.09 KB),Technical,ad,AMAR NATH,25-Apr-2026 11:38 PM,,AOC,01-Apr-2026 06:00 PM,21-Apr-2026 11:00 AM,01-Apr-2026 06:00 PM,20-Apr-2026 05:00 PM,NA ,NA ,01-Apr-2026 06:00 PM,20-Apr-2026 05:00 PM,12-Jun-2026 03:10 PM,Directorate of Local Bodies UP||Gorakhpur Municipal Corporation,TAY Sr 102 Ward 65,2026_DOLBU_1132434_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,EE,Nagar Nigam Gorakhpur,1.0,Date and other,Date,,"1,17,000",No,fixed,,Nagar Nigam Gorakhpur,Nagar Nigam Gorakhpur,"Construction work of CC road and RCC drain from Kamlesh house in Ward 65 Krishnamohan Pandey Nagar to Rajendra Prasad house via Rekha Devi, Trish Arts and Om Radhika House","Construction work of CC road and RCC drain from Kamlesh house in Ward 65 Krishnamohan Pandey Nagar to Rajendra Prasad house via Rekha Devi, Trish Arts and Om Radhika House",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,120.0,Gorakhpur,273001.0,NA ,NA ,NA ,Nagar Nigam Gorakhpur,No ,No,1.0,Fee/PreQual/Technical,.pdf,Doc,1.0,SBI Bank,"5,900",Nagar Nigam Gorakhpur,Nagar Nigam Gorakhpur,No,AOC
,,,,,,,,,2,6059499,M/S SANTOSH KUMAR SINGH,20-Apr-2026 03:59 PM,Accepted-AOC,Work order issued,21-Jun-2026 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
,,,,,,,,,3,6059449,M/S UMA SHANKAR YADAV,20-Apr-2026 03:53 PM,Rejected-Finance,L2,21-Jun-2026 03:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
