Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
NIRMAN WORK,NIRMAN WORK,Please refer Tender documents. ,NA ,"9,41,000",Civil Works,NA ,Tender,90.0,30.0,ALIGARH,202001.0,NA ,NA ,NA ,NAGAR NIGAM ALIGARH,No ,No,10-Apr-2026 05:00 PM,22-Apr-2026 11:00 AM,10-Apr-2026 05:00 PM,21-Apr-2026 05:00 PM,NA ,NA ,10-Apr-2026 05:00 PM,21-Apr-2026 05:00 PM,14-May-2026 03:55 PM,"1,180",Nil,Nil,No,"94,000",No,fixed,,Nil,Nil,EE,NAGAR NIGAM ALIGARH,1,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,Directorate of Local Bodies UP||Aligarh Municipal Corporation,6269(21)/NNA/2025-26,2026_DOLBU_1115806_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC,CE,Internal,EE,Danish Haider Naqvi,14-May-2026 03:52 PM,14-May-2026 03:55 PM,techsummary_2119015.pdf (193.40 KB),Finance,OK,Rajvir Singh,29-May-2026 07:10 PM,,BOQ Comparative Chart,ce,Internal,ee,Rajvir Singh,29-May-2026 07:49 PM,finsummary_2119015.pdf (284.32 KB),Technical,All Documents Completed,Danish Haider Naqvi,14-May-2026 02:00 PM,technical_2119015.pdf,1.0,6061428.0,YAH ENTERPRISES,INR,"936,295",Directorate of Local Bodies UP||Aligarh Municipal Corporation,2026_DOLBU_1115806_2,6269(21)/NNA/2025-26,NIRMAN WORK,1,6061463,RUCHI ENTERPRISES,21-Apr-2026 02:48 PM,Rejected-Finance,ok,29-May-2026 07:49 PM,03-Jun-2026,"INR 936,295",30.0,Rajesh Kumar,03-Jun-2026 06:27 PM,cammetti.pdf (193.00 KB),ok,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Finance,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6061428,YAH ENTERPRISES,21-Apr-2026 02:35 PM,Accepted-AOC,ok,03-Jun-2026 06:27 PM,,,,,,,,AOC
