Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi,02/TWCJ/SE/2026-27,2026_UPIDM_1145585_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,Superintending Engineer,"Office of The Superintending Engineer, Tubewell Circle, Gwalior Road, Civil Lines, Jhansi",1.0,Date Extend,Date,,"Construction of CC Lining in Parichha Minor from 3rd VRB to 1.30 km of Badagaon Pump Canal, District Jhansi LOT-2","Construction of CC Lining in Parichha Minor from 3rd VRB to 1.30 km of Badagaon Pump Canal, District Jhansi LOT-2",Please refer Tender documents. ,NA ,"77,36,000",Civil Works,NA ,Tender,90.0,120.0,Badagaon Pump Canal District Jhansi,284121.0,NA ,NA ,NA ,Jhansi,No ,No,1.0,Fee/PreQual/Technical,.pdf,Fee/PreQual/Technical,"1,55,000",No,fixed,,Nil,Nil,1,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,"2,354",Nil,Nil,No,05-May-2026 05:10 PM,21-May-2026 02:00 PM,05-May-2026 05:10 PM,21-May-2026 12:00 PM,NA ,NA ,05-May-2026 05:10 PM,21-May-2026 12:00 PM,04-Jun-2026 03:00 PM,AOC,SE VIMAL CHANDRA CHAUDHARY,Internal,SE VIMAL CHANDRA CHAUDHARY EE JAGANNATH PRASAD EE RAJ KUMAR PANDEY,Vimal Chandra Chaudhary,04-Jun-2026 02:27 PM,04-Jun-2026 03:00 PM,techsummary_2141648.pdf (245.51 KB),Finance,Financial Bids Admitted,Vimal Chandra Chaudhary,04-Jun-2026 03:51 PM,finance_2141648.pdf,BOQ Comparative Chart,SE VIMAL CHANDRA CHAUDHARY,Internal,SE VIMAL CHANDRA CHAUDHARY EE JAGANNATH PRASAD EE RAJ KUMAR PANDEY,Vimal Chandra Chaudhary,25-Jun-2026 06:29 PM,finsummary_2141648.pdf (195.72 KB),Technical,All Bids are admitted,Vimal Chandra Chaudhary,21-May-2026 06:25 PM,technical_2141648.pdf,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell) - Jhansi,2026_UPIDM_1145585_2,02/TWCJ/SE/2026-27,"Construction of CC Lining in Parichha Minor from 3rd VRB to 1.30 km of Badagaon Pump Canal, District Jhansi LOT-2",1.0,6132148.0,SHOBHA ENTERPRISES,INR,"5,309,163",1.0,6114200.0,M/S AWADH CONSTRUCTION,14-May-2026 11:18 AM,Rejected-Technical,Particular Documents Incomplete,04-Jun-2026 02:27 PM,25-Jun-2026,"INR 5,309,163",120.0,Vimal Chandra Chaudhary,25-Jun-2026 06:32 PM,AOC2.pdf (227.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Finance,,,,,,,2,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6113614.0,M/S RAJARAM,13-May-2026 04:22 PM,Rejected-Technical,Particular Documents Incomplete,04-Jun-2026 02:27 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6114102.0,santosh kumar pal,14-May-2026 10:20 AM,Rejected-Finance,Not Being Lowest,25-Jun-2026 06:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Misc. document ,Any other document ,Any other document ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6132148.0,SHOBHA ENTERPRISES,21-May-2026 11:02 AM,Accepted-AOC,DOS,25-Jun-2026 06:32 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Technical Details ,Other Technical Documents ,Other Technical Documents ,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
