Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,03/GM-4/UPPCL/2026-27 Dated 08-04-2026,2026_UPPRC_1136804_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,06-May-2026 04:00 PM,12-May-2026 03:00 PM,06-May-2026 04:00 PM,12-May-2026 02:00 PM,NA ,NA ,06-May-2026 04:00 PM,12-May-2026 02:00 PM,14-May-2026 12:00 PM,"94,000",No,fixed,,Nil,Nil,General Manager (Zone-4) Agra,"H No. A-121, Sec-13, Avas Vikas Colony, Sikandra, Agra",1,Fee/PreQual/Technical,.pdf,Bid Doc,"11,800",Nil,Nil,No,Renovation of MCH Block at S.N. Medical Collage Agra (U.P),Renovation of MCH Block at S.N. Medical Collage Agra (U.P),Please refer Tender documents. ,NA ,"46,89,122",Miscellaneous Works,NA ,Tender,90.0,180.0,S.N Medical College Agra,282005.0,NA ,NA ,NA ,General Manager (Zone-4) Agra,No ,No,AOC,Technical,Two Bids Out of Two Bids Admitted for Technical Valuation,RAJIV KUMAR PANDEY,12-May-2026 05:22 PM,,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,24-May-2026 04:08 PM,finsummary_2142490.pdf (113.51 KB),Finance,Two Financial Bids admitted for Financial Evaluation out of Two Bids,RAJIV KUMAR PANDEY,14-May-2026 01:52 PM,,BOQ Comparative Chart,Rajeev Kumar Panday General Manager Zone-4 Agra,Internal,"Sandeep Singh Chaudhary Project Manager Unit-4 Agra, Sanjay Singh Projects Manager Unit-32 Aligarh, Shravan Kumar Accountant Unit-4 Agra",RAJIV KUMAR PANDEY,13-May-2026 08:22 PM,14-May-2026 12:00 PM,techsummary_2142490.pdf (2037.80 KB),06-Jun-2026,"INR 4,630,508.38",180.0,RAJIV KUMAR PANDEY,17-Jun-2026 08:09 PM,AOC.pdf (44.00 KB),Work Awarded to M/s Shoolin International,1,6109565,M/S RAKESH KUMAR BHASKAR,12-May-2026 11:04 AM,Rejected-Finance,Being Second Lowest,24-May-2026 04:08 PM,U.P. Projects Corporation Ltd.||U.P. Projects Corp. Ltd.(MD)||Zone-4 Agra,2026_UPPRC_1136804_5,03/GM-4/UPPCL/2026-27 Dated 08-04-2026,Renovation of MCH Block at S.N. Medical Collage Agra (U.P),1.0,6102295.0,M/S SHOOLIN INTERNATIONAL,INR,"4,630,508.38",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6102295,M/S SHOOLIN INTERNATIONAL,10-May-2026 11:01 AM,Accepted-AOC,L1,17-Jun-2026 08:09 PM,,,,,,,,,,AOC
