Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_7,116/Nirman/2026-27 Date 04.04.2026,"Construction of main drain from Ambedkar Park to Santosh Medical College in Ward-15, Sector-12 M/L Block by RCC.",1.0,6078391.0,Cotec Builders,INR,"50,822,506",1,6078391,Cotec Builders,30-Apr-2026 04:34 AM,Accepted-AOC,L1,12-Jun-2026 12:13 PM,12-Jun-2026,"INR 50,822,506",60.0,Kuldeep Kumar Tamar,12-Jun-2026 12:13 PM,07116.pdf (584.00 KB),ce,Internal,,Kuldeep Kumar Tamar,12-Jun-2026 12:10 PM,finsummary_2121783.pdf (583.79 KB),Technical,Techncial,Kuldeep Kumar Tamar,30-Apr-2026 04:35 PM,,CE,Internal,,narendra kumar chaudhary,23-May-2026 11:01 AM,26-May-2026 03:00 PM,techsummary_2121783.pdf (726.89 KB),Finance,Finance,narendra kumar chaudhary,26-May-2026 03:17 PM,,BOQ Comparative Chart,AOC,"31,564",Nil,Nil,No,"16,04,921",No,percentage,3.0%,Nil,Nil,"Construction of main drain from Ambedkar Park to Santosh Medical College in Ward-15, Sector-12 M/L Block by RCC.","Construction of main drain from Ambedkar Park to Santosh Medical College in Ward-15, Sector-12 M/L Block by RCC.",Please refer Tender documents. ,NA ,"5,34,97,375",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,CE,Ghaziabad Nagar Nigam,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,26-May-2026 03:00 PM,AOC
,,,,,,,,,2,6062357,M/S VIKAS CONSTRUCTION CO,28-Apr-2026 10:43 PM,Rejected-Technical,all requried not complete,23-May-2026 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,6077539,PREM CONSTRUCTION,29-Apr-2026 01:53 PM,Rejected-Technical,all requried not complete,23-May-2026 11:01 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
