S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,6070753.0,M/S KHUSHI CONSTRUCTION,INR,"1,239,971",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,2026_REDUP_1139034_1,1846/RED/Tender/ 2025-26/Dt 31/03/26,Construction work of CC road from Prince house towards culvert in village Usmanpur.,1,6070753,M/S KHUSHI CONSTRUCTION,28-Apr-2026 10:57 AM,Accepted-AOC,L,15-Jun-2026 06:19 PM,15-Jun-2026,"INR 1,239,971",120.0,Vishnoo Kumar,15-Jun-2026 06:19 PM,BonUsma.pdf (617.00 KB),EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,16-May-2026 01:53 PM,19-May-2026 12:00 PM,techsummary_2126706.pdf (516.15 KB),Finance,Usmapur,Vishnoo Kumar,15-Jun-2026 05:20 PM,finance_2126706.pdf,BOQ Comparative Chart,EE RED BSR,Internal,EE and DAO,Vishnoo Kumar,15-Jun-2026 05:56 PM,finsummary_2126706.pdf (61.14 KB),Technical,Usmapur,Vishnoo Kumar,16-May-2026 01:50 PM,technical_2126706.pdf,AOC,20-Apr-2026 12:00 PM,30-Apr-2026 04:00 PM,20-Apr-2026 12:00 PM,28-Apr-2026 12:00 PM,NA ,NA ,20-Apr-2026 12:00 PM,28-Apr-2026 12:00 PM,19-May-2026 12:00 PM,"26,000",No,fixed,,Nil,Nil,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE MEERUT CIRCLE||EE BULANDSHAHAR,1846/RED/Tender/ 2025-26/Dt 31/03/26,2026_REDUP_1139034_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,T1,856.0,Nil,Nil,No,EE RED BSR,EE RED BSR,1.0,SBI Bank,Construction work of CC road from Prince house towards culvert in village Usmanpur.,Construction work of CC road from Prince house towards culvert in village Usmanpur.,Please refer Tender documents. ,NA ,"12,46,000",Civil Works,NA ,Tender,90.0,120.0,EE RED BSR,203001.0,EE RED BSR ,EE RED BSR ,24-Apr-2026 11:00 AM ,EE RED BSR,No ,No,AOC
,,,,,,,,,2,6066976,SHRI BHAGVAN SHARMA CONTRACTOR AND SUPPLIERS,27-Apr-2026 12:33 PM,Rejected-Finance,L2,15-Jun-2026 05:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
