Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,2026_DOLBU_1147480_1,54.0,construction of vox sofit panel for meeting hall,1.0,6135188.0,M/S PANKJA CONSTRUCTION,INR,"2,663,335.8",1,6135457,M/S AJAY CONSTRUCTIONS,22-May-2026 11:26 AM,Rejected-Finance,Highest BID,06-Jun-2026 07:01 PM,06-Jun-2026,"INR 2,663,335.8",60.0,Ratnesh Kumar,06-Jun-2026 07:06 PM,F1.pdf (218.00 KB),Crate Agreement On Stamp Paper and Complete the job 00 days,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Ratnesh Kumar,06-Jun-2026 07:01 PM,finsummary_2146722.pdf (79.46 KB),Technical,Technical Bid opening summary,Ratnesh Kumar,02-Jun-2026 02:57 PM,technical_2146722.pdf,Meenu Singh,Internal,E O NPP Hata J E NPP Hata,Ratnesh Kumar,02-Jun-2026 02:59 PM,03-Jun-2026 03:00 PM,techsummary_2146722.pdf (41.82 KB),Finance,Financial Bid opening summary,Ratnesh Kumar,06-Jun-2026 06:58 PM,finance_2146722.pdf,BOQ Comparative Chart,AOC,"2,650",EO NPP Hata,Hata,No,Directorate of Local Bodies UP||Nagar Palika Parishad Haata Kushinagar,54.0,2026_DOLBU_1147480_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,construction of vox sofit panel for meeting hall,construction of vox sofit panel for interior design in nagar palika office meeting hall,Please refer Tender documents. ,NA ,,Miscellaneous Works,NA ,Tender,60.0,60.0,ward no 21 gandhinagar,274203.0,NA ,NA ,NA ,EO NPP Hata,No ,No,11-May-2026 05:00 PM,23-May-2026 12:00 PM,12-May-2026 10:00 AM,22-May-2026 05:00 PM,NA ,NA ,12-May-2026 11:00 AM,22-May-2026 05:00 PM,03-Jun-2026 03:00 PM,EO NPP Hata,EO NPP Hata,1.0,Fee/PreQual/Technical,.pdf,NIT,"1,33,300",No,fixed,,EO NPP Hata,Hata,1,SS - Small Savings Instrument,AOC
,,,,,,,,,2,6135188,M/S PANKJA CONSTRUCTION,22-May-2026 10:05 AM,Accepted-AOC,Lowest BID,06-Jun-2026 07:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,2,FDR - Fixed Deposit,AOC
,,,,,,,,,3,6136357,SAROJANI ASSOCIATES,22-May-2026 04:57 PM,Rejected-Finance,Highest BID,06-Jun-2026 07:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,RTGS - RTGS Payment,AOC
