Type :,Summary :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Technical,Bids received,Aniruddh Kumar Yadav,06-May-2026 06:42 PM,,01-Jun-2026,"INR 3,426,158",90.0,Aniruddh Kumar Yadav,04-Jun-2026 05:55 PM,Jivnathpur.pdf (240.00 KB),EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,06-May-2026 06:45 PM,13-May-2026 11:00 AM,techsummary_2128199.pdf (158.44 KB),Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,2026_REDUP_1138505_38,21/RED/Chandauli/26-27 Date-04-04-2026,Vikas Khand Niyamatabad ke Gram Sabha Jivnathpur me main road Ramker ke makan se Parmatma Keshari ke makan se hote hue Ramanand Keshari ke makan tak interlocking road ka nirman karya.,1,6080948,M/S HANS CONSTRUCTION,30-Apr-2026 05:33 PM,Accepted-AOC,1st Lowest,04-Jun-2026 05:57 PM,1.0,6080948.0,M/S HANS CONSTRUCTION,INR,"3,426,158",EE RED Chandauli,Internal,1 AE RED Chandauli 2 DAO RED Chandauli,Aniruddh Kumar Yadav,27-May-2026 11:40 AM,finsummary_2128199.pdf (334.47 KB),Finance,Bids received,Aniruddh Kumar Yadav,13-May-2026 04:02 PM,,BOQ Comparative Chart,AOC,21-Apr-2026 11:00 AM,04-May-2026 12:30 PM,21-Apr-2026 11:00 AM,04-May-2026 12:00 PM,NA ,NA ,21-Apr-2026 11:00 AM,04-May-2026 12:00 PM,13-May-2026 11:00 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE VARANASI CIRCLE||EE CHANDAULI,21/RED/Chandauli/26-27 Date-04-04-2026,2026_REDUP_1138505_38,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Vikas Khand Niyamatabad ke Gram Sabha Jivnathpur me main road Ramker ke makan se Parmatma Keshari ke makan se hote hue Ramanand Keshari ke makan tak interlocking road ka nirman karya.,Vikas Khand Niyamatabad ke Gram Sabha Jivnathpur me main road Ramker ke makan se Parmatma Keshari ke makan se hote hue Ramanand Keshari ke makan tak interlocking road ka nirman karya.,Please refer Tender documents. ,NA ,"34,40,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Niyamtabad,232104.0,NA ,NA ,NA ,EE RED Chandauli,No ,No,EE RED Chandauli,EE RED Chandauli,"68,800",No,fixed,,Nil,Nil,"1,198",Nil,Nil,No,1.0,SBI Bank,1,Fee/PreQual/Technical,.pdf,EMD fees and Technical Document,AOC
,,,,,,,,,,,,,,,,,,,,,,2,6081092,SANJAY ENTERPRISES,30-Apr-2026 06:43 PM,Rejected-Finance,2nd bidder,27-May-2026 11:40 AM,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial Document,AOC
