Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur,02/SE/TWC/ KNP/UPC/2026-27,2026_UPIDM_1156985_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,10,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,1,BIS /Mfg lic /Dealership ,BIS registration for the items specified as ISI marked ,BIS registration for the items specified as ISI marked ,,SUPRINTENDING ENGINEER TWC KANPUR,OFFICE OF SUPRINTENDING ENGINEER TWC KANPUR,354.0,Nil,Nil,No,04-Jun-2026 12:00 PM,16-Jun-2026 12:00 PM,04-Jun-2026 12:00 PM,15-Jun-2026 03:00 PM,04-Jun-2026 12:00 PM ,11-Jun-2026 12:00 PM ,04-Jun-2026 12:00 PM,15-Jun-2026 03:00 PM,22-Jun-2026 04:00 PM,CC LINING OF UPC PUMP CANAL,CC LINING OF UPC PUMP CANAL,AS PER TENDER ,NA ,"1,04,77,373",Civil Works - Canal,CANAL ,Tender,90.0,NA ,UMARAHAT PUMP CANAL,209206.0,NA ,NA ,NA ,OFFICE OF SUPRINTENDING ENGINEER TWC KANPUR,No ,No,1.0,Fee/PreQual/Technical,.pdf,NIT OF CC UPC,AOC,Nagendra kumar Gautam,Internal,"SE TWC KANPUR,SE TWC JHANSI",Nagendra Kumar,22-Jun-2026 03:01 PM,22-Jun-2026 04:00 PM,techsummary_2167955.pdf (460.84 KB),Finance,FINANCIAL OPENED,Nagendra Kumar,22-Jun-2026 05:03 PM,finance_2167955.pdf,BOQ Comparative Chart,Nagendra kumar Gautam,Internal,"SE TWC KANPUR,SE TWC JHANSI",Nagendra Kumar,22-Jun-2026 05:52 PM,finsummary_2167955.pdf (460.84 KB),Technical,TECHNICALLY OPENED,Nagendra Kumar,22-Jun-2026 02:53 PM,technical_2167955.pdf,1.0,6196563.0,M/s Jai Contraction,15-Jun-2026 02:42 PM,Not Admitted-Fee/PreQual/Technical,Others-NOT PROPER EXPERIENCE AS PER TENDER CONDITION,22-Jun-2026 02:53 PM,U P Irrigation Department (Mechanical)||Chief Engineer (Tubewell Centre)||Superintending Engineer(Tubewell)-Kanpur,2026_UPIDM_1156985_1,02/SE/TWC/ KNP/UPC/2026-27,CC LINING OF UPC PUMP CANAL,1.0,6193907.0,M/S M.K. ENTERPRISES,INR,"11,265,438",02-Jul-2026,"INR 11,265,438",120.0,Nagendra Kumar,22-Jun-2026 06:05 PM,aocccseupc.pdf (368.00 KB),AWARDED DUE TO LOWEST RATE QUOTED,AOC
,,,,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Permanent Account Number ,Permanent Account Number ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6193907.0,M/S M.K. ENTERPRISES,15-Jun-2026 01:32 PM,Accepted-AOC,LOWEST RATE QUOTED,22-Jun-2026 06:05 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,DNIT Documents ,DNIT ,Digitally Signed Terms Condition and Specfication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6194033.0,SHIV RAM ENTERPRISES,15-Jun-2026 11:23 AM,Rejected-Finance,higher rate quoted,22-Jun-2026 05:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,Experience/ mfg. capacity ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,Detailed Experience of Supplied Items/Works/Services of the Bidder ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6194187.0,swastik traders,14-Jun-2026 06:01 PM,Rejected-Finance,higher rate quoted,22-Jun-2026 05:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,Experience/ mfg. capacity ,Performance Certificates of the Supplied Items/Works/Services for previous years ,Performance Certificates of the Supplied Items/Works/Services for previous years ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,Financial Details ,Balance Sheets ,Copy of balance sheets audited by Chartered Accountant in support of annual turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,Local SSI documents ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,Registration of Industry Department for local SSI unit to manufacture the tendered item if required. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,Misc. document ,Power of attorney in favour of local agent mandatory. ,Power of attorney in favour of local agent mandatory. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,Misc. document ,Bidder Address Format ,Bidder Address Format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,Tax related documents ,PAN card ,PAN card ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
