S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,6209057.0,UMESH CHANDRA RATHORE CONTRACTOR,INR,"458,430.03",Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,2026_DOLBU_1152359_1,229/NP/NV/RVA/2026-27,5-npp sandila me wn8 me ikbaal ke makan se sakeel se waseem ansari se abrar driver tak cc road va nali nirman karya,1.0,6210596.0,MOHD BILAL THEKEDAR,21-Jun-2026 05:36 PM,Rejected-AOC,L3,30-Jun-2026 12:15 PM,30-Jun-2026,"INR 458,430.03",60.0,Shiv Kumar,30-Jun-2026 12:15 PM,5.pdf (401.00 KB),eo and je,Internal,,Shiv Kumar,30-Jun-2026 12:13 PM,finsummary_2158725.pdf (400.80 KB),Technical,4 admitted,Shiv Kumar,30-Jun-2026 11:43 AM,,eo and je,Internal,,Shiv Kumar,30-Jun-2026 11:52 AM,30-Jun-2026 12:00 PM,techsummary_2158725.pdf (782.70 KB),Finance,UMESH CHANDRA winner,Shiv Kumar,30-Jun-2026 12:09 PM,,BOQ Comparative Chart,AOC,23-May-2026 05:00 PM,23-Jun-2026 11:00 AM,23-May-2026 05:00 PM,22-Jun-2026 05:00 PM,NA ,NA ,23-May-2026 05:00 PM,22-Jun-2026 05:00 PM,30-Jun-2026 12:00 PM,Directorate of Local Bodies UP||Nagar Palika Parishad Sandila Hardoi,229/NP/NV/RVA/2026-27,2026_DOLBU_1152359_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,tech,1,DD - Demand Draft,"41,000",No,fixed,,adhishashi adhikari nagar palika parishad,sandila,EO and JE,sandila,1.0,date extend,Date,,5-npp sandila me wn8 me ikbaal ke makan se sakeel se waseem ansari se abrar driver tak cc road va nali nirman karya,5-npp sandila me wn8 me ikbaal ke makan se sakeel se waseem ansari se abrar driver tak cc road va nali nirman karya,Please refer Tender documents. ,NA ,"4,83,627",Civil Works,NA ,Tender,90.0,60.0,nagar palika parishad sandila,241204.0,NA ,NA ,NA ,nagar palika parishad sandila,No ,No,482.0,adhishashi adhikari nagar palika parishad,sandila,No,AOC
,,,,,,,,,2.0,6196144.0,M/S SANJAY TIWARI CONTRACTOR,15-Jun-2026 12:46 PM,Rejected-AOC,L2,30-Jun-2026 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,2,BC - Bankers Cheque,,,,,,,,,2.0,conditions apply,Other,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,6193815.0,OM NAMAH SHIVAY CONTRACTOR & MANPOWER SUPPLIER,14-Jun-2026 02:55 PM,Rejected-AOC,L3,30-Jun-2026 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4.0,6209057.0,UMESH CHANDRA RATHORE CONTRACTOR,20-Jun-2026 01:39 PM,Accepted-AOC,L1,30-Jun-2026 12:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,RTGS - RTGS Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
