EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"33,000",Yes,fixed,,Nil,Nil,1.0,SBI Bank,GRAM BASANTPUR KE BICHALA TOLA KALI MANDIR SE NAHAR KO JANE WALE ROAD KA CC KARYA,GRAM BASANTPUR KE BICHALA TOLA KALI MANDIR SE NAHAR KO JANE WALE ROAD KA CC KARYA,Please Refer Tender Document ,NA ,"16,38,000",Civil Works,NA ,Tender,120.0,120.0,DEORIA,274001.0,NA ,NA ,NA ,DEORIA,No ,No,854.0,Nil,Nil,No,EXECUTIVE ENGINEER,"OFFICE OF THE EXECUTIVE ENGINEER, RURAL ENGINEERING DEPARTMENT, DIVISION DEORIA",1,Fee/PreQual/Technical,.pdf,TENDER NOTICE,16-Apr-2026 10:00 AM,12-May-2026 02:30 PM,16-Apr-2026 10:00 AM,11-May-2026 12:00 PM,NA ,NA ,16-Apr-2026 10:00 AM,11-May-2026 12:00 PM,20-May-2026 10:00 AM,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2403/RED DEORIA/E-TENDER/2025-26. DATED 31.03.2026,2026_REDUP_1137168_23,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,DATE1,Date,,AOC,Director Cum Chief Engineer RED||CHIEF ENGINEER EAST||SE GORAKHPUR CIRCLE||EE DEORIA,2026_REDUP_1137168_23,2403/RED DEORIA/E-TENDER/2025-26. DATED 31.03.2026,GRAM BASANTPUR KE BICHALA TOLA KALI MANDIR SE NAHAR KO JANE WALE ROAD KA CC KARYA,1,6104704,MADAN PAL SINGH,11-May-2026 08:16 AM,Rejected-Finance,Highest Rate,20-Jun-2026 02:07 PM,Er. Surya Prakash,Internal,,Surya Prakash,20-Jun-2026 02:07 PM,finsummary_2123836.pdf (1616.50 KB),Finance,Financial Bid Open,Surya Prakash,21-May-2026 12:26 PM,,BOQ Comparative Chart,1.0,6100785.0,Rana Vikramaditya Singh,INR,"1,387,204.11",Technical,Technical Bid Open,Surya Prakash,12-May-2026 05:56 PM,,20-Jun-2026,"INR 1,387,204.11",120.0,Surya Prakash,20-Jun-2026 02:10 PM,01.pdf (1616.00 KB),Er. Surya Prakash,Internal,,Surya Prakash,19-May-2026 02:10 PM,20-May-2026 10:00 AM,techsummary_2123836.pdf (1783.38 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,6100785,Rana Vikramaditya Singh,10-May-2026 04:37 PM,Accepted-AOC,Lowest Rate,20-Jun-2026 02:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
