EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"58,252",No,percentage,3.0%,Nil,Nil,13-Apr-2026 03:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 03:00 PM,30-Apr-2026 03:00 PM,23-May-2026 03:00 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_40,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of CC and drain from Bablu to Jitendra Goyal house in Ward-17, Sevanagar.","Construction of CC and drain from Bablu to Jitendra Goyal house in Ward-17, Sevanagar.",Please refer Tender documents. ,NA ,"19,41,721",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,1.0,SBI Bank,"1,416",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,CE,Ghaziabad Nagar Nigam,AOC,ce,Internal,,Kuldeep Kumar Tamar,09-Jun-2026 04:14 PM,finsummary_2121975.pdf (339.50 KB),Finance,Finance,Rajendra Singh,25-May-2026 01:05 PM,,BOQ Comparative Chart,1.0,6063638.0,RADHA ASSOCIATES,INR,"1,650,463",1,6077997,A P CONSTRUCTION COMPANY,30-Apr-2026 08:24 AM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_40,116/Nirman/2026-27 Date 04.04.2026,"Construction of CC and drain from Bablu to Jitendra Goyal house in Ward-17, Sevanagar.",CE,Internal,,narendra kumar chaudhary,23-May-2026 01:46 PM,23-May-2026 03:00 PM,techsummary_2121975.pdf (663.85 KB),09-Jun-2026,"INR 1,650,463",30.0,Kuldeep Kumar Tamar,09-Jun-2026 04:20 PM,40116.pdf (340.00 KB),Technical,Techncial,Kuldeep Kumar Tamar,30-Apr-2026 06:39 PM,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,2,6075648,BALAJI CONSTRUUCTION,28-Apr-2026 07:59 PM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,3,6063541,M/S CHOUDHARY ASSOCIATES,23-Apr-2026 08:13 AM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,4,6066469,M/S JAY CONSTRUCTIONS,24-Apr-2026 02:02 PM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,5,6078238,M/S KRISHNATRAY AND CO.,29-Apr-2026 04:12 PM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,6,6078436,M/S MOHAN CONSTUCTIONS,29-Apr-2026 05:06 PM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,7,6077546,M/S RIDHIMA WEAVTAX PRIVATE LIMITED,30-Apr-2026 09:24 AM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,8,6078884,M/S SHREE BALAJI ENTERPRISES,29-Apr-2026 11:19 PM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,9,6063638,RADHA ASSOCIATES,23-Apr-2026 08:41 AM,Accepted-AOC,L1,09-Jun-2026 04:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,10,6079806,Sarthak construction,30-Apr-2026 02:17 PM,Rejected-Finance,l2,09-Jun-2026 04:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
