Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
03-Jun-2026,"INR 1,733,000.344",90.0,Avinash Kumar,29-Jun-2026 01:02 PM,BidFoundsuccessfull.pdf (19.00 KB),1,6074603,ARJUN CONSTRUCTION,29-Apr-2026 10:57 AM,Rejected-Finance,L2,12-May-2026 05:24 PM,1.0,6070298.0,M/S MARUF ALI CONTRACTOR,INR,"1,733,000.344",Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SHAMLI,2026_REDUP_1141710_1,1316/EERED/TENDER/2025-26/ Dt 30-03-2026,Construction of CC road from Sanjay house to Kishan Dealer house in village Panthupura.,Technical,OK,Parmod Kumar,02-May-2026 06:50 PM,technical_2132136.pdf,Executive Engineer,Internal,,Parmod Kumar,12-May-2026 05:24 PM,finsummary_2132136.pdf (19.28 KB),Finance,OK,Parmod Kumar,12-May-2026 05:21 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Avinash Kumar,12-May-2026 04:10 PM,12-May-2026 04:15 PM,techsummary_2132136.pdf (477.14 KB),AOC,1.0,SBI Bank,Construction of CC road from Sanjay house to Kishan Dealer house in village Panthupura.,Construction of CC road from Sanjay house to Kishan Dealer house in village Panthupura.,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,90.0,SHAMLI,247776.0,NA ,NA ,NA ,EE RED Office Shamli,No ,No,Director Cum Chief Engineer RED||CHIEF ENGINEER WEST||SE SAHARANPUR CIRCLE||EE SHAMLI,1316/EERED/TENDER/2025-26/ Dt 30-03-2026,2026_REDUP_1141710_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,714",Nil,Nil,No,25-Apr-2026 04:12 PM,02-May-2026 12:30 PM,25-Apr-2026 10:00 AM,30-Apr-2026 10:30 AM,NA ,NA ,25-Apr-2026 10:00 AM,30-Apr-2026 10:30 PM,12-May-2026 04:12 PM,EE RED Shamli,EE RED Office Shamli,1,Fee/PreQual/Technical,.pdf,Technica Docoments,"35,000",No,fixed,,Nil,Nil,AOC
,,,,,,2,6070298,M/S MARUF ALI CONTRACTOR,28-Apr-2026 09:27 PM,Accepted-AOC,L1,29-Jun-2026 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Financial,,,,,,,AOC
