Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,91/E.E. BLY/E-Tender/PBT/2026-27 Dt. 04.05.2026,2026_SCIDC_1145220_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Offline,No,No,No,1.0,RTGS - RTGS Payment,Executive Engineer Officer,"UPSCIDCO. 154, Tilhar House, Gali in front of S.S.P. Office, Civil Lines, Bareilly","2,360",EE UPSCIDCO,Pilibhit,No,1,Fee,.pdf,Tender Fee and EMD,1.0,Date Extension,Date,,"Construction of Community Center at Vill.-Sultanpur, Block-Puranpur, Distt. Pilibhit","Construction of Community Center at Vill.-Sultanpur, Block-Puranpur, Distt. Pilibhit","Construction of Community Center at Vill.-Sultanpur, Block-Puranpur, Distt. Pilibhit ",NA ,"60,63,860",Civil Works - Buildings,"Const. of Community Center at Vill.-Sultanpur, PBT ",Tender,90.0,183.0,Pilibhit,262001.0,NA ,NA ,NA ,"UPSCIDCO. 154, Tilhar House, Civil Lines, Bareilly",No ,No,04-May-2026 06:55 PM,14-May-2026 12:00 PM,04-May-2026 06:55 PM,14-May-2026 11:00 AM,NA ,NA ,04-May-2026 06:55 PM,14-May-2026 11:00 AM,03-Jun-2026 05:20 PM,"1,22,000",No,fixed,,EE UPSCIDCO,Pilibhit,AOC,Technical,Technical Bid Opening Summary,Charan Singh Arya,03-Jun-2026 05:07 PM,technical_2140548.pdf,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,08-Jun-2026 02:12 PM,finsummary_2140548.pdf (761.20 KB),Finance,Financial Bid Opening Summary,Charan Singh Arya,08-Jun-2026 01:53 PM,finance_2140548.pdf,BOQ Comparative Chart,Charan Singh Arya,Internal,"Charan Singh Arya, Bhaskar Mishra",Charan Singh Arya,03-Jun-2026 05:16 PM,03-Jun-2026 05:20 PM,techsummary_2140548.pdf (82.59 KB),08-Jun-2026,"INR 6,038,998.17",183.0,Charan Singh Arya,08-Jun-2026 05:42 PM,LOI91.pdf (939.00 KB),Total Contract Value Rs. 6038998.17,1.0,6108185.0,M/s Bagesh And Sons,INR,"6,038,998.17",U.P. State Construction and Infrastructure Development Corporation Ltd.||Unit Bareilly,2026_SCIDC_1145220_1,91/E.E. BLY/E-Tender/PBT/2026-27 Dt. 04.05.2026,"Construction of Community Center at Vill.-Sultanpur, Block-Puranpur, Distt. Pilibhit",1,6114337,Ismaile Khan Contractor,14-May-2026 12:59 AM,Rejected-AOC,IInd Lowest Rate,08-Jun-2026 05:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,2,PreQual/Technical,.pdf,Tender Notice and BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6108185,M/s Bagesh And Sons,14-May-2026 12:16 AM,Accepted-AOC,Ist Lowest Rate,08-Jun-2026 05:43 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,3,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6109452,Ramvati Contractor,12-May-2026 11:29 AM,Rejected-Technical,"Disqualified, Not fulfil as par NIT Condition",03-Jun-2026 05:16 PM,AOC
