Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
18-Jun-2026,"INR 2,448,764",60.0,Kuldeep Kumar Tamar,18-Jun-2026 12:40 PM,60116.pdf (562.00 KB),Technical,Technical,Kuldeep Kumar Tamar,02-May-2026 12:46 PM,,CE,Internal,,narendra kumar chaudhary,23-May-2026 01:31 PM,23-May-2026 03:00 PM,techsummary_2122226.pdf (434.61 KB),Finance,Finance,Rajendra Singh,25-May-2026 12:50 PM,,BOQ Comparative Chart,ce,Internal,,Kuldeep Kumar Tamar,18-Jun-2026 12:37 PM,finsummary_2122226.pdf (562.35 KB),1.0,6078043.0,Bhushan Enterprises,INR,"2,448,764",Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,2026_DOLBU_1136236_60,116/Nirman/2026-27 Date 04.04.2026,Work of footpath on the inside track of Collectorate complex in Ward-84 RDC.,1,6078043,Bhushan Enterprises,29-Apr-2026 11:31 PM,Accepted-AOC,L1,18-Jun-2026 12:40 PM,AOC,"86,427",No,percentage,3.0%,Nil,Nil,CE,Ghaziabad Nagar Nigam,1.0,SBI Bank,13-Apr-2026 05:00 PM,30-Apr-2026 03:30 PM,13-Apr-2026 05:00 PM,30-Apr-2026 03:00 PM,NA ,NA ,13-Apr-2026 05:00 PM,30-Apr-2026 03:00 PM,23-May-2026 03:00 PM,Work of footpath on the inside track of Collectorate complex in Ward-84 RDC.,Work of footpath on the inside track of Collectorate complex in Ward-84 RDC.,Please refer Tender documents. ,NA ,"28,80,899",Civil Works,NA ,Tender,90.0,NA ,Ghaziabad,201001.0,NA ,NA ,NA ,Ghaziabad Nagar Nigam,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Notice,Directorate of Local Bodies UP||Ghaziabad Municipal Corporation,116/Nirman/2026-27 Date 04.04.2026,2026_DOLBU_1136236_60,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,416",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6079853,MODERN CONSTRUCTION COMPANY,30-Apr-2026 11:06 AM,Rejected-Finance,L2,18-Jun-2026 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6079412,MS BUILDWELL,30-Apr-2026 01:10 PM,Rejected-Finance,L2,18-Jun-2026 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6077303,M/S CHANDRAMOHAN SINGH RAGHUVANSHI,29-Apr-2026 09:37 PM,Rejected-Technical,all requried not complete,23-May-2026 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6078880,M/s RAJBALA ENTERPRISES,30-Apr-2026 12:24 PM,Rejected-Finance,L2,18-Jun-2026 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6075772,M/S SHIVAM BUILDERS,28-Apr-2026 09:16 PM,Rejected-Technical,all requried not complete,23-May-2026 01:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6079356,M/S SUDHISH KUMAR JAIN,30-Apr-2026 12:57 AM,Rejected-Finance,L2,18-Jun-2026 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6079071,RAQEEB CONTRACTOR,30-Apr-2026 07:56 AM,Rejected-Finance,L2,18-Jun-2026 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6079815,Sarthak construction,30-Apr-2026 02:45 PM,Rejected-Finance,L2,18-Jun-2026 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6074617,U P K V AND SONS,30-Apr-2026 12:42 PM,Rejected-Finance,L2,18-Jun-2026 12:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
