Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,10_NP Pipiganj_07-04-2026,2026_DOLBU_1134034_31,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,Executive Officer,Nagar Panchayat Pipiganj Gorakhpur,1.0,Suchana,Other,,Ward No. 12 me CC Road Work,Ward No. 12 me CC Road Work,Please refer Tender documents. ,NA ,"17,55,000",Civil Works,NA ,Tender,90.0,NA ,Nagar Panchayat Pipiganj,273165.0,NA ,NA ,NA ,Nagar Panchayat Pipiganj,No ,No,"1,75,500",No,percentage,10.0%,Nagar Panchayat Pipiganj,Gorakhpur,1.0,Fee/PreQual/Technical,.pdf,NIT,1.0,RTGS - RTGS Payment,"1,750",Nagar Panchayat Pipiganj,Gorakhpur,No,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,NA ,NA ,08-Apr-2026 05:00 PM,17-Apr-2026 03:00 PM,29-Apr-2026 01:45 PM,AOC,Directorate of Local Bodies UP||Nagar Panchayat Pipiganj Gorakhpur,2026_DOLBU_1134034_31,10_NP Pipiganj_07-04-2026,Ward No. 12 me CC Road Work,1,6053149,CHAUDHARY CONSTRUCTION,17-Apr-2026 01:55 AM,Rejected-Finance,L3,10-May-2026 03:37 PM,Finance,3 Bids,Anjneya Mishra,09-May-2026 02:59 PM,finance_2117015.pdf,BOQ Comparative Chart,Anjneya Mishra,Internal,"Pravin Gupta, Vivek shrivastwa",Anjneya Mishra,10-May-2026 03:37 PM,finsummary_2117015.pdf (5698.65 KB),Technical,3 Bids,Anjneya Mishra,29-Apr-2026 11:59 AM,technical_2117015.pdf,Ajneya Mishra,Internal,026_DOLBU_1134034_30,Anjneya Mishra,29-Apr-2026 01:36 PM,29-Apr-2026 01:45 PM,techsummary_2117015.pdf (4110.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,2,6053059,M/S RITIKA ENTERPRISES,17-Apr-2026 12:35 AM,Rejected-Finance,L2,10-May-2026 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,6052976,NIRMLA ASSOCIATES,16-Apr-2026 11:25 PM,Accepted-AOC,L1,17-Jun-2026 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC
